,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
VSX1,0.000156320391228553,0.345848214904396,0.607,0.432,0.0989508076476742,0.0494754038238371
VSX2,0.000156320391228553,0.345848214904396,0.607,0.432,0.0989508076476742,0.0494754038238371
TFDP1,0.000617699692923791,0.264302357267999,0.498,0.346,0.39100390562076,0.13033463520692
EGR2,0.00102357682905048,0.27363010778252,0.517,0.346,0.647924132788955,0.161981033197239
RARA::RXRA,0.00194001460200827,-0.302168399199423,0.456,0.573,1,0.245605848614247
TCF7,0.00237420317026023,0.2600991636198,0.535,0.405,1,0.250478434462454
TCF7L2,0.00488034944505985,0.232491386612544,0.559,0.454,1,0.344373745690103
EGR1,0.00533808672388054,0.21272463462424,0.483,0.378,1,0.344373745690103
IRF4,0.0053992304727242,0.309298521755695,0.55,0.459,1,0.344373745690103
SP2,0.00544034353380889,0.187756429972519,0.574,0.438,1,0.344373745690103
VEZF1,0.00805326591386604,0.238177233249064,0.523,0.416,1,0.427916240990171
POU4F1,0.00811215622730182,0.232310899431374,0.511,0.4,1,0.427916240990171
SREBF1,0.0098902660940554,-0.205316592000201,0.459,0.578,1,0.452470504085389
KLF11,0.0105995318162318,0.173179312681849,0.511,0.438,1,0.452470504085389
HOXA10,0.0108075950017216,0.255526021274895,0.526,0.395,1,0.452470504085389
E2F6,0.0125633834443378,0.1519944196608,0.559,0.443,1,0.452470504085389
PRRX1,0.0133243956829311,-0.242454025625215,0.444,0.535,1,0.452470504085389
UNCX,0.0133243956829311,-0.242454025625215,0.444,0.535,1,0.452470504085389
FIGLA,0.0140054016923843,-0.223389234785353,0.508,0.589,1,0.452470504085389
CUX1,0.0142960664797911,0.245895560838825,0.529,0.405,1,0.452470504085389
ZNF148,0.0188356630498922,0.13628332946488,0.55,0.454,1,0.542850086272728
POU6F2,0.01886682764297,0.183352562840997,0.529,0.416,1,0.542850086272728
NRF1,0.0225822843048911,0.225053492035463,0.438,0.341,1,0.559636877749055
CREB3,0.0226553448191548,0.206265855797921,0.517,0.422,1,0.559636877749055
HNF1B,0.0228020822993812,0.160653627440669,0.505,0.405,1,0.559636877749055
ZNF740,0.0229866648048585,0.144325015629977,0.556,0.422,1,0.559636877749055
POU6F1(var.2),0.0266641721990131,0.178991718110907,0.532,0.454,1,0.618206189710449
GLIS2,0.0273456134469077,0.179482695393039,0.514,0.411,1,0.618206189710449
BARX1,0.0284404397341973,0.161321228874958,0.565,0.47,1,0.620786150060238
SOHLH2,0.0308391325200436,-0.215724749837167,0.465,0.546,1,0.650705696172919
SIX2,0.0322012407728712,0.18822882957979,0.535,0.427,1,0.657528561587982
TFAP2A,0.0333583757669691,0.163487415582122,0.529,0.427,1,0.659870370640357
BHLHE40,0.0344457803346916,-0.203024972950977,0.474,0.578,1,0.660732695510902
KLF15,0.0356173062353525,0.180360809533793,0.444,0.373,1,0.663110436675828
ESR1,0.0373819213206919,-0.21824871649751,0.502,0.573,1,0.676078748457084
ZIC1,0.0404681820968147,0.134421358641156,0.517,0.432,1,0.692300863980295
EVX2,0.0412573585709966,0.240310571157691,0.489,0.427,1,0.692300863980295
NR1H4,0.0419352682764463,0.168881792676473,0.532,0.454,1,0.692300863980295
GRHL1,0.04520273588583,0.175073364816136,0.508,0.443,1,0.692300863980295
KLF16,0.0461363589424879,0.127752515713589,0.535,0.454,1,0.692300863980295
BARHL1,0.0470177831689213,0.172865055217752,0.502,0.443,1,0.692300863980295
THAP1,0.0479828088256175,-0.144416215654039,0.462,0.546,1,0.692300863980295
POU4F3,0.0479828088256175,0.153132492891785,0.492,0.4,1,0.692300863980295
EGR3,0.0481220189812528,0.135944621616299,0.498,0.368,1,0.692300863980295
ASCL1(var.2),0.0510514560895307,0.163302669382026,0.547,0.416,1,0.694302676502765
TCF12(var.2),0.0516401273668254,0.176818704263372,0.511,0.459,1,0.694302676502765
TCF3,0.0526088284027694,0.174083328006293,0.502,0.449,1,0.694302676502765
SHOX,0.0535926730424383,-0.202328295070533,0.471,0.514,1,0.694302676502765
SOX2,0.0537453888604036,0.174436802477721,0.553,0.449,1,0.694302676502765
ZIC4,0.0556064847717371,0.135145165626654,0.492,0.405,1,0.695069949344746
PPARG,0.0560008963927046,-0.18590958145452,0.48,0.557,1,0.695069949344746
CTCFL,0.0580895740150019,0.0782640496645619,0.544,0.411,1,0.707128852913388
MYC,0.0654643220882623,-0.110589158319931,0.462,0.557,1,0.728085714290159
BARHL2,0.0656446139287161,0.184122752510886,0.498,0.416,1,0.728085714290159
TBX3,0.0661879468408339,-0.142909860169589,0.489,0.535,1,0.728085714290159
HSF2,0.0662788615540897,0.164104168136888,0.547,0.47,1,0.728085714290159
SIX1,0.0671936791982415,0.159630503004192,0.55,0.476,1,0.728085714290159
PPARA::RXRA,0.0685853701009182,-0.163591942480952,0.45,0.519,1,0.728085714290159
IRF2,0.0711500811729702,0.181436166766143,0.547,0.47,1,0.728085714290159
TBX6,0.0739918031121144,-0.168480304306802,0.502,0.541,1,0.728085714290159
DLX5,0.074290997036354,-0.194582894217377,0.453,0.535,1,0.728085714290159
ZBTB18,0.074491008368318,0.131182606476038,0.553,0.427,1,0.728085714290159
GSC2,0.0749929620316842,-0.162309705250775,0.465,0.557,1,0.728085714290159
TCF7L1,0.0770284677978092,0.142182565555906,0.495,0.422,1,0.728085714290159
HOXD9,0.0770284677978092,0.168920119874601,0.535,0.47,1,0.728085714290159
KLF4,0.0772344716005194,0.108465080356016,0.535,0.449,1,0.728085714290159
EBF3,0.0782712343022751,-0.135537920325743,0.456,0.557,1,0.728085714290159
CREB3L4,0.078793848089874,0.179251721174791,0.486,0.395,1,0.728085714290159
SOX14,0.0801659397809252,0.154256939383457,0.517,0.427,1,0.728085714290159
EBF1,0.0812345526194342,-0.14423716380413,0.502,0.568,1,0.728085714290159
TGIF2LX,0.0816652222979484,-0.135198669307208,0.495,0.573,1,0.728085714290159
SOX10,0.0843990456355478,0.108952823921261,0.492,0.405,1,0.734731110822061
SOX4,0.0847320238388791,0.118009374859779,0.508,0.443,1,0.734731110822061
ISL2,0.0860745779347876,0.132169497197196,0.538,0.476,1,0.736286592334061
FOXG1,0.0902056164158904,0.14540754823602,0.538,0.449,1,0.75122315176601
NR1D2,0.0910271099973493,-0.151033561945143,0.468,0.551,1,0.75122315176601
PITX1,0.0913810153017106,-0.164226009379909,0.489,0.551,1,0.75122315176601
HOXB6,0.0925686942671882,0.151678034089714,0.535,0.492,1,0.751230557322181
LEF1,0.0978176252404198,0.113812710030525,0.526,0.432,1,0.771601775466436
CTCF,0.0981925292436822,0.182933509168638,0.571,0.481,1,0.771601775466436
PKNOX1,0.0999572808770251,-0.142209740778187,0.474,0.546,1,0.771601775466436
HOXA7,0.102392652668532,-0.165241189150699,0.486,0.6,1,0.771601775466436
HOXB8,0.102392652668532,-0.165241189150699,0.486,0.6,1,0.771601775466436
HOXD8,0.102392652668532,-0.165241189150699,0.486,0.6,1,0.771601775466436
NR1H4::RXRA,0.106200561793506,0.171846064134047,0.517,0.465,1,0.773509603107844
TGIF2LY,0.106467260985164,-0.0955130897441945,0.486,0.578,1,0.773509603107844
IRF9,0.107136331973306,0.168294907590548,0.556,0.497,1,0.773509603107844
NR2F1,0.108620012413949,-0.186845630610773,0.52,0.578,1,0.773509603107844
TCF4,0.108755694591782,0.175902267497964,0.505,0.432,1,0.773509603107844
PKNOX2,0.112191522162208,-0.140629270547756,0.477,0.562,1,0.783316708596166
RUNX3,0.112609511030412,0.143145408708257,0.52,0.476,1,0.783316708596166
ZBTB14,0.115427556137553,0.0953392272317654,0.435,0.405,1,0.789866971719023
THAP11,0.116713633685232,-0.10950776744521,0.511,0.6,1,0.789866971719023
SPIC,0.119465627589572,-0.204568992042581,0.523,0.578,1,0.789866971719023
MYOD1,0.119758244219168,-0.170354573758764,0.474,0.535,1,0.789866971719023
ZIC3,0.119904762907505,0.120794364008639,0.529,0.454,1,0.789866971719023
HOXC10,0.12301419830155,0.0753649017868696,0.502,0.411,1,0.789866971719023
EVX1,0.12679761751512,0.209075103901124,0.489,0.476,1,0.789866971719023
ZNF652,0.128027254443393,0.140347494544073,0.52,0.443,1,0.789866971719023
SP1,0.128955551591013,0.062192575360369,0.52,0.427,1,0.789866971719023
TFAP2E,0.129889069576803,0.122456084158962,0.462,0.427,1,0.789866971719023
ELF3,0.131456579683781,-0.181591536591998,0.538,0.622,1,0.789866971719023
ELF1,0.131771834222626,-0.17208809826492,0.523,0.595,1,0.789866971719023
ISX,0.13192968105184,-0.145762388166203,0.471,0.492,1,0.789866971719023
RAX2,0.13192968105184,-0.145762388166203,0.471,0.492,1,0.789866971719023
RELB,0.13240410069076,0.162101323084553,0.535,0.524,1,0.789866971719023
SP8,0.133516217968302,0.0781190250428701,0.523,0.443,1,0.789866971719023
EMX2,0.137221251388378,0.145757764100924,0.538,0.459,1,0.79185825177652
ELK3,0.137710306585293,0.129347490108848,0.495,0.427,1,0.79185825177652
NR2F1(var.2),0.138364469094432,0.156346665638532,0.462,0.459,1,0.79185825177652
SOX15,0.138856660264129,0.12723866372132,0.553,0.486,1,0.79185825177652
NR2C2(var.2),0.142675034465559,0.122537203423645,0.532,0.492,1,0.792692749406124
MAX,0.144021892262632,-0.0928389648022084,0.48,0.535,1,0.792692749406124
SREBF2(var.2),0.146231297784409,0.137104663609313,0.517,0.454,1,0.792692749406124
ZNF282,0.148466546555348,0.168257749036451,0.502,0.476,1,0.792692749406124
PITX2,0.148466546555348,-0.116172684728448,0.511,0.562,1,0.792692749406124
PAX9,0.153901971091919,-0.161714460566607,0.486,0.497,1,0.792692749406124
PAX5,0.156046148940089,-0.122884336391063,0.495,0.573,1,0.792692749406124
NR6A1,0.159304806586103,-0.134386430376608,0.52,0.557,1,0.792692749406124
HNF1A,0.163171341693275,0.10981002900953,0.508,0.438,1,0.792692749406124
CDX1,0.163171341693275,0.10889602892529,0.502,0.465,1,0.792692749406124
NFIA,0.163357212100298,-0.115158941947628,0.483,0.568,1,0.792692749406124
EN2,0.165224703717163,-0.112329799001552,0.477,0.546,1,0.792692749406124
PBX3,0.165412333088486,-0.13194925873208,0.489,0.546,1,0.792692749406124
SP4,0.166164454248716,0.0722811624402198,0.532,0.47,1,0.792692749406124
BCL6,0.166164454248716,0.106703015051224,0.559,0.476,1,0.792692749406124
RREB1,0.166352885785581,0.108517041645286,0.523,0.508,1,0.792692749406124
ZNF143,0.166352885785581,-0.129788256625404,0.477,0.541,1,0.792692749406124
SOX21,0.167676407832712,0.121766218563307,0.508,0.438,1,0.792692749406124
TFAP2B(var.2),0.168436248604361,0.127694679691616,0.514,0.47,1,0.792692749406124
PDX1,0.169007823081498,0.142446292019771,0.498,0.427,1,0.792692749406124
EMX1,0.169007823081498,0.142446292019771,0.498,0.427,1,0.792692749406124
HOXB2,0.169007823081498,0.142446292019771,0.498,0.427,1,0.792692749406124
HOXD3,0.169007823081498,0.142446292019771,0.498,0.427,1,0.792692749406124
GATA1,0.173827646767795,0.174246613624027,0.483,0.416,1,0.792692749406124
NFYA,0.174217624079261,0.10470450845812,0.508,0.47,1,0.792692749406124
MSGN1,0.174217624079261,-0.118825823408652,0.468,0.546,1,0.792692749406124
MGA,0.175195425410898,-0.0811021468656513,0.468,0.53,1,0.792692749406124
TBX15,0.175195425410898,-0.0811021468656513,0.468,0.53,1,0.792692749406124
PHOX2B,0.176374185396071,0.120492311385313,0.492,0.449,1,0.792692749406124
CREB3L1,0.178153395407579,0.142516583724138,0.474,0.427,1,0.792692749406124
