,Unnamed: 0,Donor,lineage,# postB Cells in Cluster,# preB Cells in Cluster,postB fold enrichment norm,hypergeom p,Fisher p,Fisher -log10p,-log10p,# postA Cells in Cluster,# preA Cells in Cluster,Comparison,postA fold enrichment norm
0,0,0,0,22.0,24.0,0.7461240310077519,0.8098890424820785,0.3579484820365905,0.4461794793605804,0.0915744768479964,,,B_,
1,1,0,1,28.0,17.0,1.3406292749658002,0.1259099140872943,0.3554080426692962,0.4492727518081665,0.8999400724029489,,,B_,
2,2,0,2,9.0,36.0,0.2034883720930232,0.9999992823846428,1.3042499631410465e-06,5.884639263153076,3.116565016068434e-07,,,B_,
3,3,0,3,24.0,18.0,1.0852713178294573,0.335022602130881,0.8733633756637573,0.0588050261139869,0.4749258925165926,,,B_,
4,4,0,4,11.0,26.0,0.3443649373881932,0.9987762814515724,0.0018999293679371,2.721262454986572,0.0005317796536994,,,B_,
5,5,0,5,12.0,25.0,0.3906976744186046,0.9963588892113864,0.0059598642401397,2.2247636318206787,0.0015842002011449,,,B_,
6,6,0,6,11.0,24.0,0.3730620155038759,0.9967461838723276,0.0048159095458686,2.31732177734375,0.0014154183958041,,,B_,
7,7,0,7,26.0,7.0,3.0232558139534884,0.0009938746484594,0.0063646552152931,2.196225166320801,3.00266838714723,,,B_,
8,8,0,8,17.0,16.0,0.8648255813953488,0.5998405140000961,0.7216520905494689,0.141672134399414,0.2219642047777696,,,B_,
9,9,0,9,10.0,20.0,0.4069767441860465,0.9882478373452568,0.0228309351950883,1.641476273536682,0.005134127382208,,,B_,
10,10,0,10,23.0,6.0,3.1201550387596897,0.0014441150397208,0.0073561230674386,2.1333510875701904,2.8403982090337347,,,B_,
11,11,0,11,21.0,7.0,2.441860465116279,0.0078634712031203,0.0334341190755367,1.475810170173645,2.1043856993072136,,,B_,
12,12,0,12,10.0,16.0,0.5087209302325582,0.9379455571024546,0.1070001423358917,0.9706156253814696,0.0278223694420259,,,B_,
13,13,0,13,20.0,5.0,3.255813953488372,0.0020651514800235,0.0128732593730092,1.8903114795684812,2.685048087094498,,,B_,
14,14,0,14,11.0,14.0,0.6395348837209303,0.8250719232808824,0.3073075413703918,0.5124267935752868,0.0835081914227795,,,B_,
15,15,0,15,14.0,11.0,1.0359408033826638,0.3870484730573046,1.0,-0.0,0.4122346415365728,,,B_,
16,16,0,16,19.0,5.0,3.0930232558139537,0.0032421086157097,0.0201431345194578,1.6958729028701782,2.4891724396993427,,,B_,
17,17,0,17,19.0,4.0,3.866279069767442,0.001103906746031,0.0091007854789495,2.040921211242676,2.9570676126527755,,,B_,
18,18,0,18,13.0,8.0,1.3226744186046513,0.1966749532736232,0.6574587225914001,0.1821315139532089,0.706250944339256,,,B_,
19,19,0,19,16.0,4.0,3.255813953488372,0.0046047358222547,0.0236849710345268,1.6255271434783936,2.3367952806089467,,,B_,
20,20,0,20,9.0,11.0,0.6659619450317125,0.7574868961290535,0.3713960349559783,0.4301627278327941,0.120624875681192,,,B_,
21,21,0,21,18.0,1.0,14.651162790697674,9.949563831712638e-06,0.0002277109597343,3.6426160335540767,5.0021959574082775,,,B_,
22,22,0,22,9.0,6.0,1.2209302325581397,0.261665662950907,0.7967722415924072,0.0986658036708831,0.5822532638688755,,,B_,
23,23,0,23,9.0,1.0,7.325581395348837,0.0024591592099214,0.0271214600652456,1.566686987876892,2.609213353427993,,,B_,
24,24,0,24,6.0,3.0,1.6279069767441858,0.1497001074598358,0.7382259368896484,0.1318107098340988,0.8247778879054647,,,B_,
25,25,2,0,28.0,11.0,2.843636363636364,0.0003880094499378,0.0016527096740901,2.7818033695220947,3.411157697070996,,,B_,
26,26,2,1,15.0,22.0,0.7616883116883117,0.7470736670389355,0.4997873306274414,0.3012147545814514,0.126636571396017,,,B_,
27,27,2,2,6.0,31.0,0.216221198156682,0.9999446896963852,7.120056397980079e-05,4.14751672744751,2.4021623980144592e-05,,,B_,
28,28,2,3,16.0,20.0,0.8937142857142857,0.5672383087303356,0.8644066452980042,0.0632819086313247,0.2462344465337741,,,B_,
29,29,2,4,18.0,16.0,1.2567857142857142,0.1952915821293062,0.5984725952148438,0.2229557484388351,0.7093164761877284,,,B_,
30,30,2,5,15.0,19.0,0.8819548872180452,0.5766812562696104,0.7290504574775695,0.1372424066066741,0.2390641641274555,,,B_,
31,31,2,6,23.0,11.0,2.335844155844156,0.0042126099553466,0.0210109781473875,1.6775537729263303,2.375448750244736,,,B_,
32,32,2,7,22.0,11.0,2.2342857142857144,0.0065647177591914,0.0309739615768194,1.5090032815933228,2.1827839410536605,,,B_,
33,33,2,8,6.0,26.0,0.2578021978021977,0.9993683135525546,0.0009046870982274,3.043501615524292,0.0002744246227042,,,B_,
34,34,2,9,23.0,8.0,3.211785714285714,0.0004697687601524,0.0027581648901104,2.5593798160552974,3.328115867389192,,,B_,
35,35,2,10,3.0,27.0,0.1241269841269841,0.9999890349509462,1.660365342104342e-05,4.77979612350464,4.762086406187019e-06,,,B_,
36,36,2,11,12.0,18.0,0.7447619047619047,0.7325207224801573,0.4596176445484161,0.3376033008098602,0.1351800849240433,,,B_,
37,37,2,12,14.0,16.0,0.9775,0.449855883550219,1.0,-0.0,0.3469265951210266,,,B_,
38,38,2,13,14.0,15.0,1.0426666666666666,0.3795586900412175,1.0,-0.0,0.4207210609007382,,,B_,
39,39,2,14,11.0,17.0,0.722857142857143,0.7462763696080261,0.4437179565429687,0.3528929948806762,0.1271003098352076,,,B_,
40,40,2,15,12.0,14.0,0.9575510204081632,0.4637912894512996,1.0,-0.0,0.3336774121852215,,,B_,
41,41,2,16,23.0,3.0,8.564761904761903,1.0203858508139874e-06,1.1145714779559056e-05,4.952892303466797,5.991235572167317,,,B_,
