sample,fastq_dir,out_name
BC_10xATAC_J2,/data2/isshamie/mito_lineage/data/raw/jan21_2021_Croker/igm-storage2.ucsd.edu/210114_A00953_0213_AHVM25DSXY,J2
BC_10xATAC_P2,/data2/isshamie/mito_lineage/data/raw/jan21_2021_Croker/igm-storage2.ucsd.edu/210114_A00953_0213_AHVM25DSXY,P2
