FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value,Cluster 10 Average,Cluster 10 Log2 Fold Change,Cluster 10 P-Value,Cluster 11 Average,Cluster 11 Log2 Fold Change,Cluster 11 P-Value,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value,Cluster 14 Average,Cluster 14 Log2 Fold Change,Cluster 14 P-Value
NFAT5_MA0606.1,NFAT5,150.1456733,-0.059848554,3.58E-20,133.1480533,0.071734713,4.62E-29,159.1496181,-0.059263385,3.35E-21,157.5127584,0.055277125,4.70E-20,153.9918794,0.014408408,0.040392182,152.0703693,-0.008448618,0.181131443,166.1420979,0.037646655,8.44E-06,149.8204345,-0.034738142,0.000225618,152.144203,0.013597325,0.098854626,143.2278152,-0.083084498,3.25E-22,153.2753271,0.018618375,0.029013837,159.3192892,0.028083157,0.036305743,171.8434975,0.0473645,0.006836299,144.8582084,-0.037230487,0.026150376
POU3F4_MA0789.1,POU3F4,75.35526358,-0.068906145,1.09E-18,65.19332133,0.085947846,7.36E-29,83.40563456,-0.112462987,1.91E-49,80.12583087,0.073476685,4.67E-24,79.16768483,0.034752222,0.000110805,76.65668908,-0.01696095,0.060981173,94.25551875,0.087012718,5.52E-18,76.03463083,0.000532121,0.483947724,76.94355717,0.034317737,0.002549491,69.2924641,-0.138287159,1.87E-40,78.34815895,0.04636451,1.92E-05,72.23656171,-0.028546341,0.065988913,82.93553457,0.032234934,0.088268532,62.63694437,-0.165916159,1.44E-14
POU5F1B_MA0792.1,POU5F1B,75.35526358,-0.068906145,1.09E-18,65.19332133,0.085947846,7.36E-29,83.40563456,-0.112462987,1.91E-49,80.12583087,0.073476685,4.67E-24,79.16768483,0.034752222,0.000110805,76.65668908,-0.01696095,0.060981173,94.25551875,0.087012718,5.52E-18,76.03463083,0.000532121,0.483947724,76.94355717,0.034317737,0.002549491,69.2924641,-0.138287159,1.87E-40,78.34815895,0.04636451,1.92E-05,72.23656171,-0.028546341,0.065988913,82.93553457,0.032234934,0.088268532,62.63694437,-0.165916159,1.44E-14
FOSL2::JUND_MA1144.1,FOSL2::JUND,267.3434093,-0.088044946,8.56E-12,347.1916269,-0.144174615,7.83E-29,226.2782109,0.183530481,1.40E-49,240.9108588,-0.155832355,1.37E-36,313.4169704,0.119866703,7.13E-16,265.0668628,0.038644284,0.015241564,446.9147231,0.19155111,1.86E-30,269.3438072,-0.018641196,0.214881922,264.5761324,-0.064435737,0.000756096,279.3436502,0.046541207,0.003619413,272.1376359,0.008238597,0.352872946,216.3703884,-0.12581601,1.98E-05,148.7376052,-0.236703015,2.33E-10,314.8062826,0.123532056,0.000501478
MZF1(var.2)_MA0057.1,MZF1(var.2),4.187332085,-0.02464742,0.000160049,3.714230916,0.075559793,1.02E-28,4.422655318,-0.072483765,1.21E-27,4.413227091,0.075066052,4.77E-31,4.146717432,-0.010080034,0.136725576,4.208551917,-0.010828518,0.133520932,4.318698179,0.013038575,0.085777963,4.182543234,-0.007459864,0.273785319,4.180739941,-0.007675337,0.258789385,3.941978937,-0.095419912,9.36E-26,4.184389473,-0.002853179,0.407358423,4.507018757,0.041392917,0.005347392,4.814083625,0.049069914,0.00616034,3.950496674,-0.052136934,0.005147092
Hic1_MA0739.1,Hic1,66.73098741,-0.031362316,6.62E-05,57.1225989,0.088710797,1.07E-28,73.84173526,-0.11987748,3.35E-52,72.44673428,0.10956433,3.99E-48,67.81327046,0.010177974,0.176838626,68.08152375,-0.032135288,0.001862989,73.61947945,0.038092311,0.000247446,67.30587367,0.015806129,0.141072025,67.12352007,0.004668975,0.377073576,61.53953268,-0.126173758,6.21E-32,67.30273084,0.006476956,0.316360206,65.31727642,-0.014253133,0.2477197,67.82789942,0.004488935,0.434483874,59.94751735,-0.094313401,1.89E-05
Mlxip_MA0622.1,Mlxip,11.55547408,-0.01646483,0.001678218,10.4682696,0.0614113,1.40E-28,12.15502343,-0.06517868,2.67E-33,12.14876424,0.071089703,1.44E-41,11.42308401,-0.011499061,0.05457016,11.60931379,-0.009367437,0.116955805,12.06220723,0.017943572,0.008748025,11.57018474,0.001082385,0.465180519,11.52506584,-0.010348355,0.128776914,11.0571886,-0.069504336,4.72E-21,11.44710576,-0.016519951,0.025271147,12.40305053,0.039390919,0.001206491,10.48510126,-0.035294218,0.014306446,11.07482273,-0.037744267,0.011227488
RORA_MA0071.1,RORA,101.7017638,-0.145648209,1.37E-20,75.42687373,0.165718111,1.00E-27,120.4890729,-0.16800742,7.86E-29,123.4191872,0.220484889,1.70E-53,102.2660663,-0.017987817,0.19817202,104.2476976,0.005391003,0.407145468,114.3822703,0.035056688,0.056543063,104.7857512,0.006768496,0.40884783,103.627235,-0.024899499,0.167133738,89.15637825,-0.227039826,7.40E-28,106.7205188,0.030716286,0.102859671,113.1866398,0.042659847,0.138623767,68.69890235,-0.163607893,0.000184975,95.99008079,-0.070322542,0.065668674
LEF1_MA0768.1,LEF1,152.0163315,-0.022128599,0.001150317,132.758979,0.076776629,1.11E-27,167.2453033,-0.111195527,1.45E-57,158.3564039,0.05266825,1.80E-15,154.1937221,0.009605119,0.158492536,154.4403622,-0.025462913,0.004717017,162.8694958,0.026742676,0.00325521,152.1715378,-0.006553209,0.3105636,154.979158,0.046072429,1.20E-05,141.8718027,-0.106694991,1.59E-29,158.8487002,0.061964455,5.03E-10,155.9323278,0.012437756,0.250941178,185.5362691,0.073241406,0.00018825,134.8468204,-0.104367602,1.00E-07
FOSL2_MA0478.1,FOSL2,122.3763398,-0.07956743,7.14E-18,147.262705,-0.100004984,1.82E-27,107.3924883,0.147182518,4.33E-62,115.8042757,-0.09034275,2.42E-25,136.936392,0.084699961,1.02E-15,120.8101759,0.041918072,0.000366092,178.3736408,0.141563506,7.94E-33,122.8600545,-0.020787559,0.106778765,120.5821467,-0.071698128,2.02E-07,123.1736023,-0.005536799,0.330684323,125.929758,0.027284625,0.025271147,102.9565087,-0.101848219,1.00E-06,69.46596639,-0.222183381,3.16E-17,141.7373559,0.11128888,9.32E-06
FOSL2::JUN_MA1130.1,FOSL2::JUN,225.4106342,-0.07292276,4.99E-11,280.470512,-0.1209466,1.86E-27,199.8877391,0.135208226,1.18E-36,207.915044,-0.121224579,2.31E-30,256.8670327,0.100156731,5.35E-15,223.9602778,0.029391581,0.028212396,351.9808114,0.16777702,1.97E-31,226.9668334,-0.008694112,0.337717129,223.4022007,-0.051936781,0.001569784,232.4081752,0.031716158,0.017036209,232.5623354,0.03265827,0.026566811,187.9537295,-0.106835842,2.37E-05,140.3179753,-0.188911261,2.94E-09,251.4324082,0.082353251,0.006322572
TEAD1_MA0090.2,TEAD1,29.24399516,-0.035956147,0.001040264,23.67226568,0.122764835,1.95E-27,30.92828406,-0.064156552,5.14E-09,30.12020839,0.035701687,0.000495092,28.58178417,-0.024050354,0.051634353,29.52316756,-0.010876889,0.259183241,30.98952117,0.022362976,0.085706713,29.19308353,-0.019617731,0.175469053,29.22556232,-0.0140531,0.238911863,27.14345349,-0.118946692,4.69E-15,29.03859974,-0.017782589,0.162850481,33.7611006,0.077621104,0.002095984,57.50621311,0.245319213,1.13E-14,27.31013147,-0.062000488,0.034477977
Barhl1_MA0877.1,Barhl1,166.0925765,-0.050012736,1.06E-08,140.8733768,0.093935059,2.62E-27,175.2966264,-0.053445019,2.31E-10,176.6171913,0.073392553,2.73E-19,162.6440796,-0.024275536,0.014038578,167.7102284,-0.003617936,0.389541527,173.2553171,0.013874322,0.139485692,166.7052404,-0.012941208,0.208247734,167.8847661,0.008256866,0.297487321,155.0834413,-0.111154263,1.60E-21,165.3424681,-0.0183295,0.091542833,178.0582916,0.034040436,0.058282385,206.558557,0.079335793,0.001073332,159.9799419,-0.037850376,0.076094367
JUN::JUNB_MA1132.1,JUN::JUNB,139.0483617,-0.079538953,1.87E-11,174.6823619,-0.128459357,3.11E-27,119.5632551,0.169042093,9.71E-50,126.4871766,-0.142481977,1.98E-36,161.0557033,0.113916705,5.76E-17,138.0121383,0.033871955,0.019582194,221.3720243,0.176729835,6.49E-31,139.5994603,-0.023475554,0.140414835,137.3720776,-0.063117544,0.000371647,144.2655057,0.039950643,0.005984952,140.6785253,0.002438353,0.460325913,117.9272832,-0.098156244,0.000240785,81.51255633,-0.211958097,3.94E-10,160.486739,0.109690307,0.000718361
SNAI2_MA0745.1,SNAI2,19.40422712,0.007987378,0.079954865,17.59131092,0.05879618,7.07E-27,20.47246161,-0.06984977,1.09E-38,20.62615348,0.090730761,1.32E-68,18.20167789,-0.057211627,1.71E-19,19.4855387,-0.011543642,0.070924802,16.35395918,-0.073147492,3.26E-25,19.56060031,0.030370465,0.000123152,19.35070013,-0.005784547,0.27626313,18.93113097,-0.036577961,3.43E-07,19.14434828,-0.019863239,0.008000163,21.1988261,0.049940511,3.27E-05,22.94056278,0.060126974,4.95E-05,18.38555225,-0.045844134,0.002070034
Rhox11_MA0629.1,Rhox11,183.6420474,-0.052100625,3.33E-11,158.9131714,0.083150368,8.87E-27,195.6072135,-0.065579508,5.75E-18,193.2401029,0.05951705,3.68E-16,186.5254642,0.006766594,0.27014173,186.974627,-0.0202958,0.030897998,208.1192399,0.047033111,4.95E-06,183.7948029,-0.021901202,0.061107205,186.8396784,0.027572662,0.01440589,168.6342608,-0.137414895,2.42E-39,190.0419352,0.040236626,0.000223847,196.4120933,0.03285462,0.043212541,212.0984443,0.051676246,0.014214511,164.6769056,-0.098455097,5.12E-06
Id2_MA0617.1,Id2,9.531255533,-0.032990277,6.64E-09,8.64757472,0.061583881,1.45E-26,9.922952484,-0.050958644,1.50E-19,10.06891417,0.076642319,4.07E-44,9.369578177,-0.01744642,0.008107157,9.54333142,0.00129629,0.440115536,9.700659413,0.006839467,0.209351283,9.558052651,0.003611777,0.365151198,9.512172231,-0.010804821,0.128660425,9.091639081,-0.075308202,1.54E-22,9.409849447,-0.023306219,0.003363133,10.38728263,0.047678546,0.000161521,9.091873454,-0.0175615,0.160420849,9.17359147,-0.034910139,0.022717591
EMX1_MA0612.1,EMX1,332.5024777,-0.042719098,5.91E-10,293.1205286,0.072585521,2.88E-26,346.5742216,-0.040247739,1.28E-09,351.6519075,0.066473322,7.71E-25,323.647422,-0.028501977,0.000364442,335.229774,-0.002639731,0.398587731,315.0596921,-0.024527784,0.005714397,333.8417956,-0.008737054,0.244458552,336.4586194,0.014052883,0.108027164,314.8884561,-0.089608472,1.68E-22,338.9731798,0.018587424,0.039648193,348.0856988,0.021508413,0.107639934,413.4810928,0.079898556,3.69E-05,322.6163309,-0.030881751,0.069617453
DUX4_MA0468.1,DUX4,270.6621884,-0.008383198,0.159574719,232.3249309,0.083918753,3.04E-26,294.3489074,-0.098247717,2.12E-36,278.838588,0.039358654,1.09E-07,271.1494904,0.000560036,0.480105608,273.4605875,-0.017796127,0.057454496,296.9413877,0.036640047,0.000425263,270.5347801,-0.005163124,0.363914501,272.9241987,0.020138918,0.059553774,252.3817832,-0.10457342,9.25E-23,276.6522179,0.031497959,0.003947443,276.9459052,0.012066961,0.282848966,361.4896184,0.108647765,1.39E-06,241.78489,-0.096634297,1.27E-05
Sox17_MA0078.1,Sox17,195.6872463,-0.054428104,1.50E-22,178.0093511,0.057850828,4.26E-26,200.6130886,-0.018903745,0.000238768,208.1887882,0.074245938,4.11E-47,189.9756496,-0.032570861,4.47E-07,196.8245082,0.005405264,0.253752705,182.7627275,-0.031454968,1.47E-05,197.3447873,-0.000606055,0.476807745,197.3288662,-0.000735239,0.46709896,190.7559692,-0.050715327,2.92E-12,194.8962844,-0.018985348,0.011326355,203.291389,0.016287415,0.118416416,237.4415082,0.068861223,6.98E-06,190.3666497,-0.030269123,0.032070267
Gmeb1_MA0615.1,Gmeb1,0.843776412,-0.02202075,0.006552956,0.731049478,0.093151268,4.68E-26,0.908600239,-0.109086292,2.93E-36,0.862002672,0.031018242,0.000170789,0.864277771,0.023657287,0.018067647,0.851507377,-0.032231763,0.005225188,0.887021807,0.022661096,0.030365502,0.836689333,-0.026163138,0.048649502,0.855060299,0.040015268,0.00200945,0.775028493,-0.132123982,1.18E-28,0.876386194,0.063935957,2.68E-07,0.971524564,0.082051155,2.46E-05,1.014943503,0.065680677,0.004892053,0.818670274,-0.026925074,0.163611258
JUNB_MA0490.1,JUNB,71.72622843,-0.087057582,6.61E-22,85.48187362,-0.09475072,5.11E-26,63.6428292,0.138678616,4.27E-58,68.91573593,-0.072358507,8.98E-18,78.97874542,0.070882348,7.01E-12,71.45908135,0.028298349,0.011386074,98.83115264,0.121076815,1.04E-25,72.21291054,-0.015785711,0.169813537,71.25996057,-0.051539872,0.000113332,72.07007753,-0.009948433,0.207486737,75.43663698,0.058048739,3.53E-06,62.86815846,-0.079538739,6.83E-05,40.40951903,-0.223516368,1.75E-18,79.63899189,0.076318437,0.001565675
FOS::JUND_MA1141.1,FOS::JUND,124.7561693,-0.095392724,3.19E-20,151.7604273,-0.107900957,1.48E-25,108.3789558,0.161078144,3.41E-59,117.5549155,-0.098163939,9.76E-24,138.541959,0.077930152,6.39E-11,123.474464,0.043155181,0.00112121,190.2064974,0.160114373,1.96E-33,125.5545226,-0.021082018,0.131110794,123.190537,-0.069362202,7.21E-06,127.5342178,0.01498863,0.141564115,126.1050902,-0.001849573,0.464992085,107.8717816,-0.088287026,0.00013847,85.61950554,-0.149423878,3.17E-07,144.2373258,0.109699624,0.000101104
HOXB13_MA0901.1,HOXB13,128.468073,-0.047074926,2.08E-09,111.6285932,0.081321046,1.57E-25,136.2622206,-0.061849961,4.16E-16,135.4511794,0.063522206,3.93E-18,127.6305482,-0.011375297,0.141369697,129.6991419,-0.005135898,0.331261605,131.5236108,0.006741306,0.287497398,128.9866462,-0.009224319,0.260165294,130.2358849,0.019237819,0.065166696,121.0052391,-0.098587865,3.64E-21,131.3055239,0.022535089,0.029536356,133.863064,0.018889358,0.174335311,163.6924912,0.088183195,5.20E-05,114.4447716,-0.103337095,1.79E-06
POU5F1_MA1115.1,POU5F1,241.1794052,-0.04714825,5.83E-12,213.5700194,0.07028957,3.40E-25,264.8192509,-0.102367189,6.89E-53,253.9141814,0.061534384,6.50E-22,253.1842835,0.035107885,1.05E-05,244.0124441,-0.009463846,0.167037894,273.8488782,0.048254128,8.42E-08,241.9952006,-0.011031372,0.190126137,244.2438247,0.016541608,0.067438756,227.15523,-0.098123502,4.30E-27,250.8532431,0.049531905,2.27E-07,240.3521597,-0.005628467,0.379905808,264.6712996,0.032483592,0.061774666,210.6508566,-0.120328128,2.27E-10
