,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
E2F3,0.00563705482111487,-0.28714822297042,0.474,0.629,1,0.370480887553313
NKX2-5,0.00819781912725417,-0.259051987608912,0.482,0.589,1,0.370480887553313
MYB,0.0118564904860646,0.320453059140533,0.558,0.46,1,0.370480887553313
ELK4,0.0120290822395398,0.223315919056643,0.478,0.371,1,0.370480887553313
HNF1B,0.0130747236944622,-0.298270396011259,0.462,0.605,1,0.370480887553313
ZNF24,0.0135304037708474,0.263676150699402,0.49,0.395,1,0.370480887553313
NR1H4,0.0204154557895703,0.235593154799358,0.51,0.435,1,0.370480887553313
MEOX1,0.0231027500444321,0.218495103873906,0.49,0.427,1,0.370480887553313
HOXC4,0.0277082381481024,-0.245950882503733,0.446,0.516,1,0.370480887553313
TP53,0.0305676869637496,-0.278500609098157,0.47,0.548,1,0.370480887553313
VAX1,0.0324187207914398,0.218720094347056,0.526,0.452,1,0.370480887553313
VAX2,0.0324187207914398,0.218720094347056,0.526,0.452,1,0.370480887553313
DRGX,0.0324187207914398,0.218720094347056,0.526,0.452,1,0.370480887553313
GSX2,0.0324187207914398,0.218720094347056,0.526,0.452,1,0.370480887553313
FOSL1::JUN(var.2),0.0346260313755006,0.217975719409111,0.53,0.427,1,0.370480887553313
HSF1,0.0350649170577698,0.208851558482007,0.534,0.484,1,0.370480887553313
DMRTA2,0.0362283023676972,0.227180383422725,0.51,0.427,1,0.370480887553313
MAF,0.0372382502498519,0.253095561923941,0.506,0.419,1,0.370480887553313
PDX1,0.0385582161906526,0.185772901867023,0.526,0.387,1,0.370480887553313
EMX1,0.0385582161906526,0.185772901867023,0.526,0.387,1,0.370480887553313
HOXB2,0.0385582161906526,0.185772901867023,0.526,0.387,1,0.370480887553313
HOXD3,0.0385582161906526,0.185772901867023,0.526,0.387,1,0.370480887553313
ZBTB7A,0.0394275961862239,0.149577682268091,0.49,0.331,1,0.370480887553313
GSX1,0.0408130180377973,0.197562892398628,0.506,0.395,1,0.370480887553313
PAX1,0.042863606996264,-0.238472590904273,0.438,0.573,1,0.370480887553313
HNF1A,0.0433896534972348,-0.224680972890313,0.458,0.556,1,0.370480887553313
TFAP2E,0.0456589913418328,-0.21864495269977,0.458,0.508,1,0.37541837325507
ETS1,0.0554999678774026,0.199336460611802,0.446,0.411,1,0.390842889696954
RARA(var.2),0.0574790022663273,0.209067469247458,0.49,0.452,1,0.390842889696954
PBX3,0.0586943418646584,0.180010364208889,0.458,0.371,1,0.390842889696954
MITF,0.061189076121734,0.230809284372319,0.47,0.419,1,0.390842889696954
FOS::JUN(var.2),0.0627564192865342,0.192116801376352,0.506,0.395,1,0.390842889696954
PKNOX1,0.0661409643993732,0.204327952895092,0.482,0.427,1,0.390842889696954
MEOX2,0.0684282632667781,0.187714525949707,0.538,0.452,1,0.390842889696954
LBX2,0.0685830337375457,0.192808952544008,0.522,0.411,1,0.390842889696954
PAX3(var.2),0.0698315823030396,-0.2048971121958,0.434,0.556,1,0.390842889696954
HOXB3,0.0709393113590429,0.19728110379123,0.474,0.411,1,0.390842889696954
SREBF1(var.2),0.0715787415661664,0.203447240365884,0.562,0.492,1,0.390842889696954
OSR2,0.0768659457204123,0.164698133493287,0.462,0.395,1,0.390842889696954
NFIC,0.0805055946635251,0.173459448227429,0.538,0.427,1,0.390842889696954
MYC,0.0821077155648421,-0.14757588171193,0.458,0.605,1,0.390842889696954
CENPB,0.0837355963167408,0.182353678222761,0.566,0.5,1,0.390842889696954
SRF,0.0857606119240222,0.123792741679091,0.554,0.419,1,0.390842889696954
ESX1,0.0868817377037498,0.15220347824201,0.502,0.387,1,0.390842889696954
NKX2-2,0.087446721184953,-0.149553790905203,0.494,0.589,1,0.390842889696954
FOXE1,0.0887765471244062,0.148177846909897,0.51,0.419,1,0.390842889696954
PHOX2A,0.0891594761100941,0.153002921844557,0.522,0.411,1,0.390842889696954
LMX1A,0.0914850728125525,0.194456104700075,0.482,0.411,1,0.390842889696954
FOSB::JUNB(var.2),0.0944603599799287,0.21110131786649,0.502,0.468,1,0.390842889696954
ISL2,0.0962824411219861,-0.222193304961904,0.482,0.524,1,0.390842889696954
ZBTB32,0.0962824411219861,-0.235130808261873,0.494,0.524,1,0.390842889696954
YY1,0.0964866189506469,0.15377831858967,0.546,0.411,1,0.390842889696954
ETV4,0.0971012314152483,-0.176837757790039,0.482,0.581,1,0.390842889696954
HES5,0.099800808083407,-0.172445902872333,0.502,0.54,1,0.390842889696954
SREBF2,0.101066793680694,0.173988145936427,0.506,0.403,1,0.390842889696954
ERG,0.102989723127571,0.164074964325644,0.478,0.435,1,0.390842889696954
MAFA,0.10983666632607,0.2241341735668,0.458,0.403,1,0.390842889696954
IRF5,0.11029047213216,0.151282211960334,0.494,0.395,1,0.390842889696954
KLF4,0.110973956528425,0.125964469016814,0.506,0.468,1,0.390842889696954
ZNF140,0.11467584913306,0.173622964060726,0.586,0.492,1,0.390842889696954
POU6F2,0.115852407464778,0.116806421344916,0.498,0.403,1,0.390842889696954
ATF7,0.117515504733463,0.211181689609372,0.474,0.427,1,0.390842889696954
FLI1,0.11799410102775,0.151418566952854,0.49,0.387,1,0.390842889696954
TFAP2B,0.119197282135342,0.15297541936037,0.518,0.444,1,0.390842889696954
BHLHA15(var.2),0.120166732235571,-0.177216475781659,0.458,0.573,1,0.390842889696954
NR3C1,0.120410056803477,-0.165329577613463,0.462,0.532,1,0.390842889696954
EN2,0.122864565619573,0.183794289279151,0.474,0.395,1,0.390842889696954
PAX6,0.123112150649308,-0.17562427197418,0.414,0.524,1,0.390842889696954
SOX4,0.123112150649308,0.160573481740095,0.542,0.5,1,0.390842889696954
TFAP4,0.123360125127229,-0.187305111642348,0.498,0.508,1,0.390842889696954
ATOH1(var.2),0.126113649169319,-0.197805236604615,0.462,0.5,1,0.390842889696954
SMAD2::SMAD3::SMAD4,0.129171837888773,0.125871267224441,0.518,0.444,1,0.390842889696954
DMRTC2,0.131242423679727,0.155246380172433,0.53,0.468,1,0.390842889696954
SOX15,0.132025494696535,0.13570938612806,0.49,0.46,1,0.390842889696954
ZBTB26,0.132549549940727,0.145664518839049,0.498,0.395,1,0.390842889696954
TFEB,0.138149829793868,0.188422996304428,0.522,0.435,1,0.390842889696954
HOXA7,0.142815523466882,-0.177614973885876,0.478,0.516,1,0.390842889696954
HOXB8,0.142815523466882,-0.177614973885876,0.478,0.516,1,0.390842889696954
PPARD,0.142815523466882,0.185106992625186,0.462,0.419,1,0.390842889696954
HOXD8,0.142815523466882,-0.177614973885876,0.478,0.516,1,0.390842889696954
DPRX,0.143093697118236,-0.166515868136902,0.426,0.484,1,0.390842889696954
ZFP42,0.145052566877579,0.190339519881584,0.51,0.468,1,0.390842889696954
ELK3,0.146747890663159,0.137857540873907,0.466,0.379,1,0.390842889696954
HMBOX1,0.147886498804253,0.136367652321375,0.494,0.419,1,0.390842889696954
GBX2,0.149895289151409,0.157396969904865,0.502,0.427,1,0.391416973069219
THRB(var.2),0.153093918035702,-0.163322352080605,0.49,0.556,1,0.391416973069219
USF1,0.153975218641362,0.159500277467046,0.494,0.452,1,0.391416973069219
GSC,0.155156277613024,0.105697674351012,0.542,0.452,1,0.391416973069219
INSM1,0.157838794273057,-0.10917887963372,0.47,0.524,1,0.393107286940201
NEUROD2,0.164543798344918,0.115395865791543,0.55,0.5,1,0.393107286940201
RREB1,0.164853591262061,0.148220462280144,0.49,0.419,1,0.393107286940201
NRF1,0.165163823118092,-0.147777014512397,0.418,0.46,1,0.393107286940201
MNX1,0.166409145905358,0.126716143278626,0.454,0.435,1,0.393107286940201
VEZF1,0.17500033569075,0.11484284872394,0.518,0.419,1,0.393107286940201
NR3C2,0.17662698929239,-0.161751424610232,0.474,0.548,1,0.393107286940201
GATA6,0.17662698929239,0.258288685724815,0.317,0.242,1,0.393107286940201
HOXA10,0.180245246751828,0.135271375100366,0.526,0.435,1,0.393107286940201
NFIC(var.2),0.180245246751828,0.137656463979746,0.59,0.492,1,0.393107286940201
ZNF317,0.181907995697179,0.108714744775702,0.462,0.387,1,0.393107286940201
BHLHE22,0.182241906628992,0.156061809192878,0.574,0.484,1,0.393107286940201
RAX,0.187646455221587,0.170745098401204,0.482,0.46,1,0.393107286940201
THRB,0.187646455221587,0.114606988829048,0.438,0.403,1,0.393107286940201
SHOX,0.193517446525567,0.111183934055567,0.542,0.427,1,0.393107286940201
JUND(var.2),0.19774215474246,0.14767757223995,0.522,0.468,1,0.393107286940201
ZEB1,0.19774215474246,-0.130459560138143,0.502,0.548,1,0.393107286940201
HSF2,0.198452784159937,0.131361975838238,0.534,0.46,1,0.393107286940201
HOXA9,0.200595873710241,0.164272768967757,0.498,0.476,1,0.393107286940201
MYOG,0.202755805370506,-0.18785969088714,0.458,0.524,1,0.393107286940201
ELF2,0.20384210293881,0.128871858078927,0.506,0.452,1,0.393107286940201
MZF1(var.2),0.20493263006257,0.111616294440027,0.53,0.476,1,0.393107286940201
POU6F1,0.206759591174535,0.124935120233125,0.486,0.419,1,0.393107286940201
ERF,0.206759591174535,0.127012561986302,0.474,0.427,1,0.393107286940201
ZNF410,0.207126397837672,0.144014583963528,0.538,0.46,1,0.393107286940201
NR4A1,0.208229650781261,0.151648319218686,0.514,0.484,1,0.393107286940201
TFAP2C,0.2089675157824,0.143588558366677,0.47,0.427,1,0.393107286940201
NEUROG2,0.20970727329558,0.172158363110823,0.562,0.508,1,0.393107286940201
TCF12(var.2),0.210077862298117,-0.111870147378712,0.49,0.605,1,0.393107286940201
FOXG1,0.211937918562935,0.162408484934618,0.466,0.444,1,0.393107286940201
REL,0.212311353593925,0.162521035458764,0.526,0.468,1,0.393107286940201
THAP1,0.212685263723481,-0.135431223332854,0.454,0.5,1,0.393107286940201
ZBTB7B,0.217970010195722,-0.133299297853177,0.474,0.508,1,0.393107286940201
GBX1,0.219114631927926,0.126139131712929,0.506,0.419,1,0.393107286940201
RARA,0.219497129964174,0.142316656165097,0.478,0.452,1,0.393107286940201
PAX5,0.2198801070676,-0.109248723753919,0.47,0.54,1,0.393107286940201
OVOL1,0.224513272160263,-0.174364832874806,0.542,0.54,1,0.393107286940201
ASCL1,0.224902495204461,-0.179815526593396,0.466,0.5,1,0.393107286940201
SPDEF,0.22607305602261,0.1780490546869,0.486,0.46,1,0.393107286940201
TCF3,0.227640558126006,-0.108958625011008,0.482,0.597,1,0.393107286940201
TCF21(var.2),0.228427207276063,0.105572026593548,0.51,0.427,1,0.393107286940201
SOX8,0.230798764860383,0.170215154552084,0.49,0.476,1,0.394133275376961
HES7,0.234388823853537,-0.138970947117563,0.494,0.524,1,0.396955289234667
JUNB(var.2),0.236804067079031,0.135124463590666,0.462,0.403,1,0.396955289234667
RXRB,0.24209731179647,0.163048127590795,0.434,0.371,1,0.396955289234667
GATA1,0.251243670974958,0.161781135694678,0.39,0.282,1,0.396955289234667
NFATC2,0.252086957030278,0.138727043996266,0.53,0.468,1,0.396955289234667
RARA::RXRA,0.253779444412111,0.120952218800167,0.506,0.452,1,0.396955289234667
JUN,0.253779444412111,0.110178329954948,0.55,0.46,1,0.396955289234667
RUNX3,0.253779444412111,0.153401297796618,0.45,0.452,1,0.396955289234667
CUX1,0.255053990056469,-0.120577144980867,0.466,0.468,1,0.396955289234667
PBX2,0.25804521836538,0.103574877693669,0.462,0.403,1,0.396955289234667
TCF4,0.258904305232732,-0.121464189807929,0.526,0.548,1,0.396955289234667
NKX6-1,0.260628419039438,0.103118067775942,0.466,0.427,1,0.396955289234667
NKX6-2,0.260628419039438,0.103118067775942,0.466,0.427,1,0.396955289234667
LHX5,0.260628419039438,0.103118067775942,0.466,0.427,1,0.396955289234667
GATA2,0.261060685712889,0.30776258383683,0.309,0.25,1,0.396955289234667
ZNF652,0.261060685712889,0.123317895659802,0.466,0.379,1,0.396955289234667
POU4F1,0.266286569989754,-0.149678159461711,0.454,0.484,1,0.402147064882486
NR2F1(var.2),0.270696121650677,0.151237924937016,0.462,0.435,1,0.403980125057229
TFCP2,0.271139813664536,-0.119110695030067,0.502,0.524,1,0.403980125057229
TBX21,0.274707286088388,0.106219787567429,0.514,0.46,1,0.404533198117842
MAF::NFE2,0.275155463584658,0.195831401177579,0.402,0.355,1,0.404533198117842
MSGN1,0.277855007401123,0.107513776061778,0.482,0.468,1,0.40581455028322
KLF10,0.281027197323211,-0.115666878909606,0.454,0.532,1,0.407764952978776
ELK1,0.292556584203073,0.103613825338889,0.446,0.387,1,0.416992423817595
HOXB4,0.292556584203073,-0.138707090704058,0.478,0.516,1,0.416992423817595
RORA,0.293961157147188,0.116844540177217,0.502,0.427,1,0.416992423817595
GATA5,0.294900047474606,0.267100326374594,0.289,0.274,1,0.416992423817595
PBX1,0.30057555194763,0.109003997472692,0.462,0.403,1,0.421668373334073
NR2F1(var.3),0.302005726847377,0.108921243935907,0.438,0.419,1,0.421668373334073
TAL1::TCF3,0.305360386523965,-0.123086414684059,0.478,0.548,1,0.423687536302002
E2F2,0.322503196037167,-0.117083572335858,0.51,0.556,1,0.444001703073503
FOXO3,0.324001242783367,0.12082440375762,0.498,0.435,1,0.444001703073503
DLX5,0.327010911550553,-0.132968702385885,0.442,0.492,1,0.445376824320385
HOXC13,0.334103840543731,0.159093030173292,0.55,0.524,1,0.45089566318322
BACH2(var.2),0.33512515506861,-0.128687201072331,0.458,0.492,1,0.45089566318322
SOX9,0.337687229795669,0.130929467819317,0.522,0.5,1,0.451605813341196
IRF7,0.347014575972495,-0.117302071684844,0.43,0.484,1,0.457904459998386
E2F7,0.34753752523919,0.112527987376781,0.506,0.468,1,0.457904459998386
ETV6,0.348584926755528,-0.124653442048941,0.458,0.468,1,0.457904459998386
PAX9,0.359703496479031,-0.103141065798521,0.498,0.573,1,0.464958929764712
OVOL2,0.359703496479031,-0.135345725734998,0.466,0.508,1,0.464958929764712
TBX19,0.360238450087975,-0.112405482494175,0.502,0.516,1,0.464958929764712
PITX1,0.365615424682655,-0.123744362172495,0.542,0.54,1,0.469171238610112
SNAI3,0.367780169621774,0.136552295223603,0.526,0.532,1,0.469236768138125
USF2,0.38093564033647,0.13485996537573,0.47,0.468,1,0.478176253923585
NFATC3,0.387060603346219,0.120657306771142,0.51,0.484,1,0.478176253923585
RHOXF1,0.387060603346219,-0.140533457703779,0.494,0.524,1,0.478176253923585
MSX1,0.389864423244004,0.110359268940084,0.486,0.468,1,0.478176253923585
MSX2,0.389864423244004,0.110359268940084,0.486,0.468,1,0.478176253923585
TEAD3,0.389864423244004,0.123904202257257,0.482,0.484,1,0.478176253923585
BSX,0.389864423244004,0.110359268940084,0.486,0.468,1,0.478176253923585
CUX2,0.395508989544066,-0.108397034243998,0.49,0.516,1,0.482434042191113
GRHL2,0.40867755544153,0.115143692867236,0.398,0.395,1,0.495772772174971
DUX4,0.422693245733873,0.135360139825546,0.438,0.435,1,0.509988589961521
NR6A1,0.425648226453634,-0.108548250760285,0.45,0.524,1,0.51077787174436
TWIST1,0.434585193726846,-0.10351642741833,0.474,0.516,1,0.518061934575388
GATA4,0.436385503448637,0.22786135852011,0.281,0.25,1,0.518061934575388
FOSL2,0.43879258898149,0.218571478651196,0.373,0.355,1,0.51814869549942
SPIB,0.441812147251926,-0.175238860816909,0.406,0.427,1,0.518953950740358
FOSB::JUN,0.459558432195424,0.108052735997636,0.486,0.5,1,0.536957747091495
RXRG,0.462657979699124,0.111566229751499,0.438,0.419,1,0.537749065409453
FOSL2::JUNB(var.2),0.468891912996832,0.116887045917729,0.478,0.46,1,0.539435326988268
ATF3,0.470771115539046,0.100282016526494,0.482,0.444,1,0.539435326988268
RFX1,0.471398438899658,0.133516154778694,0.474,0.435,1,0.539435326988268
ZBTB33,0.478962165804778,-0.122944550056456,0.49,0.508,1,0.545280004146978
RXRG(var.2),0.482768735828778,0.112428366738826,0.478,0.444,1,0.546809486499942
CREB3,0.487869623757097,-0.107502147796401,0.466,0.492,1,0.547113902707526
