,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,54,0.370039880358923,590,0_54,0.185019940179462,590,1
2,0,0,0.279649287431822,460,0_0,0.324844583895373,1050,2
3,0,2,0.134546360917248,229,0_2,0.392117764353997,1279,3
4,0,1,0.127061462670811,228,0_1,0.455648495689402,1507,4
5,1,1,0.135257749846266,209,1_1,0.0676288749231331,209,1
6,1,0,0.132890885940941,207,1_0,0.134074317893603,416,2
7,1,2,0.130394400769562,189,1_2,0.199271518278385,605,3
8,1,6,0.104128743515747,156,1_6,0.251335890036258,761,4
9,1,5,0.099193949646731,162,1_5,0.300932864859624,923,5
10,1,7,0.0984126498107989,141,1_7,0.350139189765023,1064,6
11,1,9,0.0966683762384827,123,1_9,0.398473377884265,1187,7
12,1,14,0.0959161646394207,123,1_14,0.446431460203975,1310,8
13,1,3,0.094009609324566,143,1_3,0.493436264866258,1453,9
14,2,1,0.139742946358871,154,2_1,0.0698714731794357,154,1
15,2,0,0.132374261179882,169,2_0,0.136058603769377,323,2
16,2,3,0.124815991970559,150,2_3,0.198466599754656,473,3
17,2,5,0.105701460912234,124,2_5,0.251317330210773,597,4
18,2,2,0.105668004906881,118,2_2,0.304151332664213,715,5
19,2,4,0.104979368796699,116,2_4,0.356641017062563,831,6
20,2,10,0.10411787665886,83,2_10,0.408699955391993,914,7
21,2,6,0.0940281030444965,96,2_6,0.455714006914241,1010,8
22,2,11,0.0878248020519683,77,2_11,0.499626407940225,1087,9
23,3,0,0.306962128097231,419,3_0,0.153481064048616,419,1
24,3,1,0.251851999578346,375,3_1,0.279407063837789,794,2
25,3,2,0.14952122370719,193,3_2,0.354167675691384,987,3
26,3,47,0.143112088638429,185,3_47,0.425723720010598,1172,4
27,3,53,0.122902914253317,138,3_53,0.487175177137257,1310,5
