,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,0,0.179904404433758,360,0_0,0.0899522022168788,360,1
2,0,2,0.153948448771333,255,0_2,0.166926426602545,615,2
3,0,4,0.137335053662542,221,0_4,0.235593953433816,836,3
4,0,1,0.137250014661897,276,0_1,0.304218960764765,1112,4
5,0,52,0.131825112896604,183,0_52,0.370131517213067,1295,5
6,0,3,0.128949914960999,221,0_3,0.434606474693566,1516,6
7,0,11,0.0985821945926925,141,0_11,0.483897571989913,1657,7
8,1,0,0.145266654929308,220,1_0,0.072633327464654,220,1
9,1,1,0.114789327168668,172,1_1,0.130027991048988,392,2
10,1,2,0.100367685520437,156,1_2,0.180211833809207,548,3
11,1,5,0.0945607548652628,153,1_5,0.227492211241838,701,4
12,1,10,0.0936595298422346,123,1_10,0.274321976162955,824,5
13,1,3,0.0921938909599373,151,1_3,0.320418921642924,975,6
14,1,6,0.0897361901043859,161,1_6,0.365287016695117,1136,7
15,1,4,0.0817537655232948,139,1_4,0.406163899456764,1275,8
16,1,8,0.0788260599983159,120,1_8,0.445576929455922,1395,9
17,1,7,0.0764979804088173,146,1_7,0.483825919660331,1541,10
18,2,0,0.257862161257946,318,2_0,0.128931080628973,318,1
19,2,1,0.205882680941229,230,2_1,0.231872421099587,548,2
20,2,2,0.164321958291513,188,2_2,0.314033400245344,736,3
21,2,3,0.144485335117654,154,2_3,0.386276067804171,890,4
22,2,6,0.116451990632319,108,2_6,0.44450206312033,998,5
23,3,0,0.320161595901983,474,3_0,0.160080797950991,474,1
24,3,1,0.251191598836464,406,3_1,0.285676597369223,880,2
25,3,36,0.243118071561457,277,3_36,0.407235633149952,1157,3
