sample,raw,bam,bam_f
CD34_Flt3L_mt_PolydT,,,/data2/isshamie/mito_lineage/data/processed/2020_09_07_Croker_mito/CD34_Flt3L_mt_PolydT_fiveprime/outs/possorted_genome_bam.bam
CD34_mt_PolydT,,,/data2/isshamie/mito_lineage/data/processed/2020_09_07_Croker_mito/CD34_mt_PolydT_fiveprime/outs/possorted_genome_bam.bam
