sample,raw,barcode_f,bam_f,out_name,sample_name
BC_10xATAC_rxn1,,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn1/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn1/outs/possorted_bam.bam,rxn1,rxn1
BC_10xATAC_rxn2,,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn2/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn2/outs/possorted_bam.bam,rxn2,rxn2
BC_10xATAC_rxn3,,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn3/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn3/outs/possorted_bam.bam,rxn3,rxn3
BC_10xATAC_rxn4,,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn4/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/DUPI_april08_2021/MTblacklist_mtasnucl/rxn4/outs/possorted_bam.bam,rxn4,rxn4
