"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"STAT1::STAT2",4.25007311242124e-06,0.708731513310108,0.376,0.148,0.00269029628016264
"ETV6",0.000389235220025737,0.685377996723263,0.435,0.23,0.246385894276291
"MEF2B",0.000564586482412107,0.608842130010864,0.482,0.311,0.357383243366864
"MSANTD3",0.000799836849421835,0.449951707311605,0.6,0.311,0.506296725684022
"IRF1",0.00100413608974939,0.515984282350529,0.459,0.197,0.635618144811361
"SPIB",0.00115532261784595,0.6933125938715,0.235,0.049,0.731319217096486
"ZKSCAN5",0.00174419636204363,0.475619904367383,0.329,0.18,1
"MEOX2",0.00202184972450176,-0.529956475570008,0.471,0.689,1
"LHX6",0.00230887812119375,-0.566028816369058,0.447,0.574,1
"ZNF684",0.0044416483110861,0.492320539233089,0.588,0.41,1
"EHF",0.00508944777714235,0.59843403046614,0.4,0.164,1
"SPI1",0.00521601547679659,0.579783814583966,0.282,0.18,1
"HLF",0.00568170865828989,0.449864231135028,0.447,0.246,1
"MEOX1",0.00664713588414963,-0.420249074803356,0.471,0.721,1
"MEIS2",0.00832406966795023,-0.447191273515349,0.424,0.607,1
"TFAP2B(var.3)",0.0102519699365896,0.359904517811949,0.576,0.361,1
"ELK3",0.0117488841466168,0.400229759596744,0.682,0.492,1
"ELK1",0.0122892894614485,0.534762500252416,0.741,0.541,1
"LMX1A",0.0124277850533242,-0.462480209195351,0.459,0.557,1
"FOXK1",0.01270892937211,-0.418148309484867,0.435,0.59,1
"MEF2D",0.0129956884722242,0.470982326545537,0.518,0.311,1
"NRF1",0.0150030636803455,-0.50592809230393,0.482,0.689,1
"ETV5",0.0156733841085566,0.420918576506763,0.447,0.279,1
"NR2F1(var.3)",0.0167282657076484,0.429457262011591,0.459,0.328,1
"PBX1",0.0180373122665566,-0.348285710578171,0.388,0.574,1
"IRF3",0.0190264708836686,0.318902754503649,0.471,0.361,1
"MEIS1",0.0192298977446129,-0.44852315070163,0.412,0.607,1
"ELF1",0.0200627343499976,0.474714683449115,0.4,0.213,1
"HOXB3",0.0227529183248292,-0.383104004295084,0.565,0.689,1
"IRF7",0.0234725452468277,0.409197178802396,0.529,0.426,1
"POU5F1B",0.0260158031121191,0.341271815624919,0.612,0.525,1
"HOXA10",0.0268238143094381,-0.350887710682768,0.471,0.672,1
"NR2F6(var.3)",0.0276534038636738,0.445874322769693,0.494,0.361,1
"MEF2A",0.0282186762834411,0.285824798945172,0.447,0.311,1
"HOXB7",0.0287938778611148,-0.329918142520194,0.447,0.656,1
"FOXK2",0.0308872715342764,-0.387643917981934,0.412,0.623,1
"MXI1",0.0308872715342764,0.339929595389595,0.506,0.344,1
