"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"EHF",1.05981600414134e-07,0.992487654961368,0.4,0.191,6.70863530621469e-05
"ELF1",1.46184126060689e-07,0.865828710281274,0.4,0.136,9.25345517964161e-05
"SPI1",6.58356355036877e-07,0.918195151626411,0.282,0.109,0.000416739572738343
"ETV6",9.50533901279261e-07,0.74160389289432,0.435,0.164,0.000601687959509772
"ETV4",3.18499150638328e-06,0.804752539854843,0.435,0.218,0.00201609962354062
"IRF1",3.43118560581056e-06,0.607735294483064,0.459,0.164,0.00217194048847808
"SPIB",4.07860192175796e-06,0.945354590477885,0.235,0.1,0.00258175501647279
"ELF3",6.63793753709387e-06,0.806046015440479,0.306,0.191,0.00420181446098042
"GABPA",7.94741514831955e-06,0.777638094946192,0.435,0.227,0.00503071378888628
"FOXP1",2.27240443056052e-05,-0.599253026714482,0.4,0.655,0.0143843200454481
"SPIC",2.35133260842185e-05,0.807930701022971,0.341,0.218,0.0148839354113103
"ZKSCAN5",3.56602883091355e-05,0.518203018948149,0.329,0.155,0.0225729624996828
"FOXK1",4.40167814300344e-05,-0.588588130134793,0.435,0.718,0.0278626226452118
"MEF2B",5.36210387739728e-05,0.661995592301952,0.482,0.291,0.0339421175439248
"FOXD1",6.51888231043932e-05,-0.613939624313266,0.435,0.664,0.0412645250250809
"FOXK2",6.58962346331298e-05,-0.632981386282341,0.412,0.655,0.0417123165227712
"FOXF2",9.67842955066834e-05,-0.645393799034969,0.471,0.664,0.0612644590557306
"FOXI1",0.000128443319574709,-0.552801585233904,0.459,0.627,0.0813046212907911
"FOXL1",0.000128443319574709,-0.552801585233904,0.459,0.627,0.0813046212907911
"FOXO4",0.000128443319574709,-0.552801585233904,0.459,0.627,0.0813046212907911
"FOXO6",0.000128443319574709,-0.552801585233904,0.459,0.627,0.0813046212907911
"FOXP3",0.000128443319574709,-0.552801585233904,0.459,0.627,0.0813046212907911
"ESR1",0.000135286906315741,0.494648317678752,0.482,0.255,0.0856366116978643
