"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"ELF1",4.63620044945257e-06,-0.732299453890918,0.136,0.366,0.00293471488450348
"GABPA",1.25099911035799e-05,-0.74767760830364,0.227,0.394,0.00791882436856605
"ESR1",4.11024094022851e-05,-0.594085545070347,0.255,0.535,0.0260178251516465
"ELF3",7.6241959232384e-05,-0.758760114940868,0.191,0.324,0.0482611601940991
"EHF",7.81169639366635e-05,-0.791789690873729,0.191,0.197,0.049448038171908
"ETV1",0.000161383056426629,-0.66529270595134,0.273,0.423,0.102155474718056
"ETV4",0.000855676551411544,-0.572515500409025,0.218,0.338,0.541643257043507
"SPI1",0.00188681262027167,-0.637051696629071,0.109,0.127,1
"FOS",0.00196235665673227,-0.595825094654047,0.391,0.577,1
"ELF5",0.00204066829791744,-0.539504631660739,0.273,0.408,1
"FOSL2",0.00220595862170661,-0.609914656056249,0.391,0.62,1
"IKZF1",0.00238343750711234,-0.503889378926327,0.273,0.394,1
"SPIB",0.00252502254658583,-0.686415987427688,0.1,0.211,1
"SPIC",0.00299718430426442,-0.619353538098104,0.218,0.254,1
"ETV6",0.00311248771498727,-0.502495868332899,0.164,0.394,1
"BATF",0.00442731454469332,-0.530877589942002,0.391,0.563,1
"FOXF2",0.00498160394444269,0.431823045615556,0.664,0.479,1
"BATF::JUN",0.00540132376866387,-0.527256959364665,0.373,0.563,1
"FOXD1",0.00585271500539997,0.496752786581683,0.664,0.521,1
"TBX1",0.00606403392619775,-0.402516319517626,0.327,0.535,1
"FOXK1",0.00611792633240847,0.389570512275884,0.718,0.493,1
"ZBTB14",0.00662271375602781,0.466299601446724,0.582,0.437,1
"ISL2",0.00685884984500579,0.436760575554097,0.591,0.394,1
"TFCP2",0.00704088724324031,-0.422588437134625,0.473,0.62,1
"HINFP",0.00735394149664176,0.446986418792989,0.655,0.493,1
"FOSL2::JUN",0.00829797857458197,-0.586081284586674,0.445,0.606,1
"FOXO3",0.00844134529405081,0.440155578067369,0.618,0.507,1
"FOSL1::JUNB",0.00903721696323068,-0.509313601149675,0.409,0.62,1
"FOS::JUND",0.00983470659974054,-0.555471748052802,0.427,0.577,1
"RARA(var.2)",0.0101708719743282,-0.34796011799781,0.445,0.577,1
"ALX3",0.0103427605417362,0.378635585997155,0.664,0.493,1
"HIC2",0.0107838430021293,-0.406143112888537,0.427,0.592,1
"ESRRB",0.0112415693976444,-0.370338908428665,0.336,0.521,1
"ZNF135",0.0114294380707203,-0.340279505831122,0.3,0.423,1
"MIXL1",0.0115244133767408,0.402404680179609,0.627,0.437,1
"PAX4",0.0116200884180233,0.388729195195083,0.591,0.479,1
"TLX2",0.0116200884180233,0.388729195195083,0.591,0.479,1
"LHX9",0.0116200884180233,0.388729195195083,0.591,0.479,1
"PRRX2",0.0116200884180233,0.388729195195083,0.591,0.479,1
"ZNF460",0.0119113554703082,-0.287026630129507,0.3,0.451,1
"FOS::JUNB",0.0132496574412747,-0.508679756841619,0.436,0.563,1
"TBX3",0.0134669409375958,-0.422806334325728,0.427,0.479,1
"FOXK2",0.0134669409375958,0.385276726830625,0.655,0.577,1
"ZKSCAN5",0.0139109741037561,-0.364801596704698,0.155,0.282,1
"MEF2B",0.0141377999147043,-0.421583851495745,0.291,0.451,1
"NRF1",0.0144841585202033,0.436539623390443,0.636,0.479,1
"FOSL1",0.0144841585202033,-0.452897920878067,0.4,0.577,1
"FOXI1",0.0150780684658023,0.334125350875973,0.627,0.507,1
"FOXL1",0.0150780684658023,0.334125350875973,0.627,0.507,1
"FOXO4",0.0150780684658023,0.334125350875973,0.627,0.507,1
"FOXO6",0.0150780684658023,0.334125350875973,0.627,0.507,1
"FOXP3",0.0150780684658023,0.334125350875973,0.627,0.507,1
"ISX",0.015568534694995,0.371741100075305,0.6,0.507,1
"RAX2",0.015568534694995,0.371741100075305,0.6,0.507,1
"NOTO",0.0158189913332011,0.396935890914478,0.6,0.493,1
"BATF3",0.0160729847534697,-0.467424434063741,0.382,0.521,1
"FOSL1::JUN",0.0163305562018195,-0.475772006492929,0.409,0.577,1
"BARHL1",0.0195635361577416,0.30662334061367,0.636,0.521,1
"FOSB::JUNB",0.0200239690176825,-0.432126527337519,0.391,0.535,1
"PAX6",0.0206525755283952,0.328683453522914,0.591,0.408,1
"TBX6",0.0221301727103491,-0.36437864576208,0.382,0.521,1
"THRB(var.3)",0.0238789916068429,-0.303678502548305,0.345,0.521,1
"POU3F2",0.0244264850645724,0.281607676821878,0.6,0.493,1
"POU1F1",0.0249848238853157,0.223310260098902,0.609,0.465,1
"IRF1",0.0259399561691913,-0.311779633824104,0.164,0.183,1
"FOXN3",0.0267266367521872,0.393025947529251,0.591,0.493,1
"TBX4",0.0271276453210269,-0.357728329223999,0.345,0.451,1
"TBX5",0.0271276453210269,-0.357728329223999,0.345,0.451,1
"FOSL2::JUNB",0.0298629107738736,-0.416476470026836,0.418,0.592,1
"BARHL2",0.0303040958714873,0.339882112129369,0.536,0.366,1
"EGR2",0.0303040958714873,0.337928117057072,0.627,0.507,1
"ZIC5",0.0307508694305736,0.276248483198532,0.673,0.577,1
"FOXA2",0.0309763692178453,0.43315426382328,0.655,0.535,1
"FOXD2",0.0312032869618677,0.320983213474062,0.627,0.451,1
"NR5A1",0.0340394639759245,-0.302359370872776,0.3,0.324,1
"RARG(var.3)",0.0340394639759245,-0.291144065153669,0.373,0.507,1
"JUND",0.0340394639759245,-0.357384259128607,0.427,0.606,1
"BACH2",0.0347820067451318,-0.363050290982635,0.418,0.606,1
"NFE2",0.0352846837083689,-0.450786926987682,0.409,0.577,1
"OSR1",0.0368300713841653,0.28713254279671,0.655,0.521,1
"HNF1B",0.0378920517152651,0.317791937035007,0.655,0.493,1
"SMAD2::SMAD3::SMAD4",0.0381615803234332,-0.291901465702681,0.382,0.535,1
"NR2F1",0.0384327373500669,-0.344395706652199,0.309,0.31,1
"JUNB",0.0398132131211614,-0.349289860935185,0.445,0.592,1
"ZIC4",0.0406615245909901,0.247111768360473,0.636,0.535,1
"FOXH1",0.0421094173914208,0.313540635013971,0.6,0.437,1
"FOS::JUN",0.0421094173914208,-0.427915230742734,0.409,0.634,1
"FOSL2::JUND",0.0421094173914208,-0.382149985947916,0.455,0.62,1
"ZNF24",0.0436006984930323,0.244778354357772,0.564,0.451,1
"CDX2",0.0436006984930323,0.291856732155707,0.6,0.408,1
"E2F3",0.0463974649914457,-0.310809929074424,0.5,0.606,1
"NR2C2(var.2)",0.0467173398723143,-0.337870191181783,0.4,0.521,1
"IRF9",0.0490088206937255,-0.276919756217185,0.373,0.451,1
"BARX2",0.0493437512892654,0.251171786074222,0.618,0.479,1
"RARB(var.3)",0.0493437512892654,-0.283129259955073,0.382,0.563,1
"CTCF",0.0500193755787531,0.490719169401665,0.709,0.606,1
"ATOH1(var.2)",0.0513939045956102,0.342648509768945,0.564,0.451,1
"MAFK",0.051742434609267,-0.298733133584909,0.364,0.451,1
"HNF1A",0.0520929401236663,0.350762794769047,0.591,0.493,1
"RARA",0.0520929401236663,-0.342013150445869,0.364,0.535,1
"ELF4",0.0524454293603141,-0.337605582440749,0.364,0.479,1
"TBX18",0.0531563919509525,-0.297947171149658,0.336,0.366,1
"JUN(var.2)",0.0542379200282666,-0.381373887836752,0.427,0.563,1
"TP53",0.0549690915295619,0.248419952460538,0.564,0.423,1
"SP8",0.0583618006698546,-0.220033782276546,0.482,0.62,1
"VENTX",0.0587492830746828,0.280026340617183,0.545,0.423,1
"FOXE1",0.0599245667871056,0.284452295635767,0.564,0.465,1
"CREB3",0.0644019392012973,0.238361277493703,0.636,0.507,1
"JDP2",0.0644019392012973,-0.35107966202847,0.418,0.592,1
"ZNF140",0.0644019392012973,-0.22540671162882,0.336,0.507,1
"ZFP57",0.0648223193076569,0.249395712743625,0.627,0.479,1
"TCFL5",0.0656698723666559,0.252304522424533,0.655,0.549,1
"FOSL2::JUN(var.2)",0.0673923903184048,-0.331099634838471,0.5,0.563,1
"TCF21(var.2)",0.0673923903184048,0.267141206793933,0.527,0.423,1
"ONECUT1",0.0678287807839229,0.188292109361093,0.618,0.493,1
"TFDP1",0.0682674928726547,0.348688143954217,0.618,0.493,1
"POU3F1",0.0687085352123655,0.244502662957509,0.6,0.549,1
"HOXD4",0.0687085352123655,0.293892072255518,0.527,0.408,1
"PITX1",0.0687085352123655,-0.276542682360069,0.364,0.507,1
"PRRX1",0.0714042084561605,0.313336165351984,0.545,0.394,1
"UNCX",0.0714042084561605,0.313336165351984,0.545,0.394,1
"MEIS2(var.2)",0.0714042084561605,0.26272155600737,0.582,0.507,1
"LBX2",0.0723218003155224,0.236829500917676,0.627,0.479,1
"NR2C2",0.0727842041540454,0.260607288687361,0.509,0.423,1
"FOSB::JUNB(var.2)",0.0732490248409805,-0.311910134042224,0.536,0.592,1
"HOXA10",0.0746580748886694,0.2589860546523,0.645,0.479,1
"FOSL1::JUND",0.0746580748886694,-0.336396144417747,0.436,0.634,1
"MEF2D",0.0756096852105679,-0.321736483935651,0.345,0.38,1
"CDX4",0.0765711716703925,0.245205891282341,0.573,0.507,1
"ZIC3",0.0790185533955257,0.172948515494202,0.609,0.479,1
"KLF15",0.0790185533955257,0.25626079905959,0.618,0.521,1
"TEAD4",0.0795155850308614,0.276574264736989,0.573,0.408,1
"POU6F1(var.2)",0.0810219475887736,-0.252957488453526,0.509,0.62,1
"HOXA13",0.0810219475887736,0.336823690922085,0.6,0.493,1
"ESRRA",0.0825513949698792,-0.225007123943824,0.3,0.423,1
"MGA",0.0841041629626865,-0.292709517038909,0.409,0.535,1
"TBX15",0.0841041629626865,-0.292709517038909,0.409,0.535,1
"FOSL1::JUN(var.2)",0.0841041629626865,-0.310986992366443,0.509,0.563,1
"JUN::JUNB(var.2)",0.0856804873802688,-0.273530953051248,0.545,0.634,1
"JUND(var.2)",0.0862112043685082,-0.260851588553692,0.491,0.606,1
"NR2F2",0.0867445736672927,-0.280212660536532,0.391,0.437,1
"EGR3",0.0883606827178407,0.214249753286844,0.636,0.592,1
"NR1H4",0.0889047485413725,-0.220258711900844,0.445,0.577,1
"RXRG(var.2)",0.090000976736553,-0.293085250453829,0.355,0.437,1
"FOXA1",0.0922260633852255,0.299817352475088,0.664,0.62,1
"ETV5",0.0933550611927875,-0.298562513235977,0.336,0.465,1
"NEUROG2",0.0973941264363165,0.279953436544847,0.573,0.493,1
"EVX2",0.0997641527453073,-0.232888742962443,0.536,0.648,1
"MXI1",0.101571682078166,0.244990375151527,0.455,0.352,1
"PDX1",0.102791121293593,-0.222348535358653,0.555,0.606,1
"EMX1",0.102791121293593,-0.222348535358653,0.555,0.606,1
"HOXB2",0.102791121293593,-0.222348535358653,0.555,0.606,1
"HOXD3",0.102791121293593,-0.222348535358653,0.555,0.606,1
"ONECUT2",0.103405192617687,0.261532801126995,0.536,0.507,1
"E2F1",0.105890689684931,0.298692934470309,0.636,0.479,1
"E2F2",0.105890689684931,-0.269143620562253,0.509,0.62,1
"NFKB2",0.107785724614754,-0.167060759558271,0.318,0.394,1
"TEAD3",0.111003678946804,0.212491821602681,0.609,0.451,1
"ATF7",0.111003678946804,-0.268319327995678,0.518,0.62,1
"CTCFL",0.111656280710661,0.235270886866336,0.609,0.493,1
"CREM",0.114297006122258,-0.254210476901918,0.518,0.62,1
"FOSB::JUN",0.11496480920267,-0.24234448521272,0.5,0.606,1
"FOSL2::JUNB(var.2)",0.116309620251265,-0.302158348209698,0.473,0.634,1
"PBX2",0.116309620251265,0.226097145733145,0.591,0.493,1
"HOXB13",0.116986644970526,0.186553685364927,0.636,0.535,1
"POU3F3",0.117666760297521,0.169303151926665,0.645,0.535,1
"POU4F2",0.118349974572934,0.223211604667387,0.618,0.563,1
"ETS1",0.120418294278272,-0.229543209517528,0.427,0.535,1
"ATF2",0.123219942571829,-0.230664544624786,0.436,0.535,1
"USF2",0.123219942571829,-0.194867996888031,0.327,0.437,1
"TFAP2C(var.2)",0.123928246908166,-0.120777774004826,0.345,0.437,1
"CDX1",0.124639724575919,0.20847588997023,0.609,0.493,1
"ERG",0.125354383758826,-0.186614366792084,0.455,0.521,1
"DPRX",0.125354383758826,0.335328807927345,0.645,0.592,1
"CENPB",0.131187167994195,0.211127491705957,0.509,0.437,1
"POU4F1",0.131930826142419,0.188725042009386,0.655,0.535,1
"SOX12",0.134181406622113,0.227482314498951,0.618,0.549,1
"RXRB(var.2)",0.137228224517754,-0.292546076468261,0.427,0.479,1
