"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"FOSL2",3.3885341899145e-09,-1.28627559499486,0.233,0.454,2.14494214221588e-06
"JUN(var.2)",3.68078191627285e-09,-1.20706879990553,0.24,0.477,2.32993495300071e-06
"BATF::JUN",7.16523536495219e-09,-1.14226687273796,0.24,0.446,4.53559398601473e-06
"BATF3",9.08419966707114e-09,-1.07583864721434,0.225,0.454,5.75029838925603e-06
"BATF",1.03326975573146e-08,-1.12981992765428,0.24,0.431,6.54059755378016e-06
"NFE2",1.07272357948607e-08,-0.966860978261657,0.233,0.462,6.7903402581468e-06
"FOS",2.05898003539645e-08,-1.19508391997124,0.236,0.431,1.30333436240595e-05
"BACH1",2.22752539987518e-08,-0.908890622698593,0.233,0.5,1.41002357812099e-05
"FOSL2::JUNB",4.91896823753921e-08,-1.06331263033847,0.233,0.423,3.11370689436232e-05
"FOSL2::JUN",5.67483486667927e-08,-1.12310878479668,0.233,0.446,3.59217047060798e-05
"FOS::JUND",6.09382914761768e-08,-1.12162267528455,0.247,0.4,3.85739385044199e-05
"MAFK",7.1671554657026e-08,-0.632939008595401,0.287,0.531,4.53680940978974e-05
"FOSB::JUNB",1.56210809957974e-07,-1.03906410285026,0.251,0.431,9.88814427033976e-05
"FOSL1::JUN",1.90154088691658e-07,-1.09501742438177,0.236,0.423,0.000120367538141819
"FOS::JUN",1.93916378163716e-07,-1.07502360363618,0.236,0.446,0.000122749067377632
"FOS::JUNB",2.03639575852638e-07,-1.07816567990168,0.24,0.438,0.00012890385151472
"FOSL2::JUND",3.09140532654137e-07,-1.03389492540482,0.236,0.423,0.000195685957170069
"FOSL1",3.16677457750618e-07,-1.0550580031329,0.244,0.423,0.000200456830756141
"FOSL1::JUNB",3.8738967073974e-07,-1.01001755973895,0.233,0.423,0.000245217661578255
"JDP2",4.32336365802245e-07,-0.897447268423655,0.273,0.431,0.000273668919552821
"NFE2L1",5.85479547570567e-07,-0.70674991702252,0.284,0.508,0.000370608553612169
"BACH2",8.12678584843682e-07,-0.923742907287425,0.255,0.462,0.00051442554420605
"FOSL1::JUND",8.55347183790399e-07,-0.911550871979809,0.244,0.438,0.000541434767339322
"JUNB",1.90570499566458e-06,-0.903378533227076,0.244,0.438,0.00120631126225568
"JUND",3.22596856927575e-06,-0.895335501364257,0.265,0.415,0.00204203810435155
"JUN::JUNB",3.29792185438209e-06,-0.851258027634123,0.284,0.446,0.00208758453382386
"TCFL5",4.99600148760094e-06,0.529593347802691,0.545,0.354,0.0031624689416514
"NRF1",8.79193314647224e-06,0.569200706495458,0.556,0.362,0.00556529368171693
"CTCF",9.13274828633102e-06,0.693375377825938,0.669,0.454,0.00578102966524754
"MAF::NFE2",1.2876703306495e-05,-0.554344538546678,0.324,0.515,0.00815095319301134
"LMX1B",1.44617747946191e-05,0.487140829174372,0.571,0.377,0.00915430344499388
"STAT1::STAT2",1.6298759781355e-05,-0.527599232378121,0.295,0.492,0.0103171149415977
"HINFP",2.59120010366127e-05,0.476170658039561,0.516,0.3,0.0164022966561758
"PBX3",2.8303691370324e-05,-0.423509537719111,0.4,0.585,0.0179162366374151
"ZKSCAN5",4.24072511223429e-05,-0.48992864438305,0.353,0.454,0.0268437899604431
"FOXC2",4.42755383640871e-05,0.446004876410485,0.513,0.346,0.0280264157844671
"GATA1::TAL1",5.72315311983855e-05,-0.633617503097375,0.251,0.369,0.036227559248578
"HOXA13",6.2056984323579e-05,0.430491517411726,0.553,0.423,0.0392820710768255
"ZIC3",7.37250653543475e-05,0.430505194671319,0.578,0.392,0.046667966369302
"FOXA1",8.87775130485243e-05,0.466920928696724,0.567,0.385,0.0561961657597159
"TEF",0.000107902965673223,0.548022024807517,0.611,0.492,0.0683025772711501
"PRRX1",0.000110756409631308,0.41193155163047,0.516,0.369,0.0701088072966179
"UNCX",0.000110756409631308,0.41193155163047,0.516,0.369,0.0701088072966179
"ALX3",0.000162484678237012,0.41465636015793,0.513,0.331,0.102852801324028
"ZIC4",0.000187865676103937,0.376779380640479,0.531,0.369,0.118918972973792
"SHOX",0.000280187539752849,0.407527371377916,0.524,0.369,0.177358712663553
"FOXP1",0.000319052696087751,0.392736854068229,0.564,0.346,0.201960356623546
"SREBF1",0.000352982871710383,-0.357374639474739,0.425,0.562,0.223438157792673
"ZBTB14",0.00038226192588118,0.39888408653127,0.545,0.323,0.241971799082787
"NFIL3",0.000495953514468508,0.536093161957674,0.625,0.508,0.313938574658566
"ELF1",0.000603147237302008,-0.473078849059631,0.404,0.569,0.381792201212171
"DBP",0.000638434600443634,0.484776817281171,0.549,0.454,0.40412910208082
"ZIC5",0.000731591478847328,0.338312959378132,0.535,0.338,0.463097406110359
"ZIC1",0.000956910733124149,0.342206006317557,0.553,0.431,0.605724494067586
"GRHL2",0.00106452899232494,0.340564414493578,0.535,0.431,0.673846852141685
"FOXD2",0.00113146405970648,0.378690671334428,0.549,0.4,0.716216749794203
"MAZ",0.00129756240943941,0.255781513632364,0.575,0.454,0.821357005175145
"SREBF2",0.00131410594199826,-0.314637971232967,0.378,0.569,0.831829061284899
"FOXP2",0.0013606095100775,0.376855442386339,0.498,0.338,0.86126581987906
"NR1H2::RXRA",0.001377892923938,-0.295946584520584,0.418,0.546,0.872206220852755
"ZBTB32",0.00149995500007055,0.345355791529789,0.527,0.4,0.949471515044661
"ZBTB33",0.00151411543642948,0.386940506109561,0.578,0.477,0.958435071259862
"HOXD13",0.00156709716929652,0.355809186609795,0.531,0.415,0.991972508164698
"DMRTA2",0.00160169609142127,0.374372765245854,0.549,0.377,1
"MNX1",0.00164209797595266,0.350101229506471,0.564,0.408,1
"CEBPA",0.00170975581576946,0.602359681077812,0.636,0.554,1
"IRF9",0.00173645384539206,-0.352718848376883,0.371,0.546,1
"CEBPB",0.00180767285382935,0.548678167460092,0.662,0.531,1
"ONECUT1",0.00186427276039694,0.360415396305499,0.567,0.431,1
"FOXK2",0.00195822765562,0.363420335374466,0.509,0.4,1
"TFDP1",0.0019945674581896,0.358849485236281,0.535,0.362,1
"HES1",0.0020565117791094,0.299544423154382,0.535,0.392,1
"FOXA2",0.00219237824551203,0.354835168030449,0.531,0.377,1
