,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
LHX2,0.00218356858995446,0.321790732291734,0.584,0.468,1,0.513191540797045
JUN,0.00232676911121234,0.336586661348689,0.617,0.462,1,0.513191540797045
PHOX2B,0.0027819923910346,0.275304201767577,0.579,0.397,1,0.513191540797045
TBX20,0.00324291652952319,0.292984640651471,0.579,0.474,1,0.513191540797045
ZNF136,0.0044629208671855,0.285944894406147,0.565,0.436,1,0.565005781785684
PHOX2A,0.0108150681150526,0.242851353978441,0.565,0.442,1,0.947226279383821
SMAD2::SMAD3::SMAD4,0.0182210965957211,0.225134884636524,0.517,0.378,1,0.947226279383821
SREBF2,0.0190245542236413,0.237303618492076,0.569,0.513,1,0.947226279383821
FOSL2::JUND(var.2),0.0228546154015125,0.28479917120007,0.526,0.468,1,0.947226279383821
ZBTB7C,0.0236467980005118,0.241971891693958,0.565,0.449,1,0.947226279383821
STAT3,0.0240831452674704,0.215800217439401,0.498,0.365,1,0.947226279383821
ZBTB7B,0.0256326143382714,0.233292261912441,0.565,0.423,1,0.947226279383821
RHOXF1,0.0256990054812285,0.205863006471612,0.536,0.455,1,0.947226279383821
PKNOX1,0.0260331967447081,0.202979532058917,0.536,0.423,1,0.947226279383821
MTF1,0.0269197294392464,0.198755606521206,0.536,0.462,1,0.947226279383821
FOSL2::JUN(var.2),0.0288445769693781,0.282015543343919,0.589,0.455,1,0.947226279383821
MYBL1,0.028991758535191,-0.254270414392814,0.498,0.59,1,0.947226279383821
OVOL1,0.031278261754564,0.23711192829172,0.493,0.404,1,0.947226279383821
NR6A1,0.0313570708230537,-0.204006004714042,0.431,0.487,1,0.947226279383821
NKX2-8,0.0319135187676346,0.198634984161371,0.56,0.474,1,0.947226279383821
CREB1,0.0348244225221549,0.227366308418152,0.526,0.462,1,0.947226279383821
PITX3,0.0408339547366743,0.19243056344424,0.488,0.41,1,0.947226279383821
MNX1,0.0410320033797467,0.193168759346391,0.579,0.506,1,0.947226279383821
GCM2,0.042441256896109,0.190548049109005,0.526,0.429,1,0.947226279383821
OVOL2,0.048152645341592,0.172071771381825,0.531,0.417,1,0.947226279383821
MGA,0.0543704810409565,0.187265068442268,0.565,0.474,1,0.947226279383821
TBX15,0.0543704810409565,0.187265068442268,0.565,0.474,1,0.947226279383821
ONECUT3,0.0544963298596218,0.186600557100806,0.569,0.474,1,0.947226279383821
BHLHE40,0.0594617130828824,0.177915558232491,0.574,0.462,1,0.947226279383821
ZBTB33,0.063213285552106,-0.146975792548587,0.483,0.558,1,0.947226279383821
SOX21,0.063213285552106,0.188722163392911,0.526,0.442,1,0.947226279383821
MLX,0.0636419455974217,0.143312382950257,0.526,0.442,1,0.947226279383821
OTX2,0.0646514960701352,0.233017378498493,0.522,0.436,1,0.947226279383821
EOMES,0.06700872301284,0.164225868176186,0.555,0.455,1,0.947226279383821
ISX,0.0677597053400314,0.173704192501838,0.545,0.468,1,0.947226279383821
RAX2,0.0677597053400314,0.173704192501838,0.545,0.468,1,0.947226279383821
BACH2(var.2),0.0685175971818195,0.181446674847611,0.574,0.429,1,0.947226279383821
MEIS1(var.2),0.0691289153025824,-0.18170652250106,0.483,0.513,1,0.947226279383821
JUN::JUNB(var.2),0.0711467100944654,0.164545583493514,0.593,0.468,1,0.947226279383821
ZSCAN29,0.0720941520949758,0.195359314997976,0.502,0.436,1,0.947226279383821
FOSB::JUN,0.0725717338738663,0.247776082638319,0.541,0.468,1,0.947226279383821
NFIB,0.0735346671670306,0.185040556709207,0.502,0.442,1,0.947226279383821
SREBF1,0.0754918828106471,0.161939219164885,0.565,0.481,1,0.947226279383821
RORA(var.2),0.0756568855846773,0.140396707634418,0.474,0.378,1,0.947226279383821
NEUROG1,0.0783371852862743,0.162726902285603,0.545,0.474,1,0.947226279383821
KLF13,0.0790192003588044,0.177730718332347,0.555,0.474,1,0.947226279383821
GSC2,0.0791904566612292,0.188108931152793,0.522,0.455,1,0.947226279383821
MEIS1,0.0851950501656591,0.192055398782919,0.502,0.423,1,0.947226279383821
ETS1,0.0883325565060066,-0.1654594518277,0.459,0.538,1,0.947226279383821
HOXA13,0.0921422866016119,0.1644362087913,0.574,0.487,1,0.947226279383821
ELK3,0.0944907641006164,-0.185656725046223,0.464,0.519,1,0.947226279383821
POU5F1B,0.097291029178929,0.176035344661744,0.536,0.442,1,0.947226279383821
PAX3,0.0974935601608112,0.200458031172519,0.545,0.5,1,0.947226279383821
GCM1,0.103302482641222,0.127553105277022,0.526,0.423,1,0.947226279383821
BHLHE41,0.103514926105296,0.135757684754643,0.56,0.494,1,0.947226279383821
POU5F1,0.112528014053085,0.162978099791255,0.488,0.5,1,0.947226279383821
JUND(var.2),0.113439485289761,0.177749755844591,0.555,0.429,1,0.947226279383821
FOSL1::JUN(var.2),0.114126897506951,0.190600091285203,0.579,0.481,1,0.947226279383821
FIGLA,0.115511556423759,-0.143844560033365,0.474,0.564,1,0.947226279383821
TCF7L2,0.116208821753329,-0.125460021816849,0.44,0.506,1,0.947226279383821
FEV,0.117378275161689,-0.150653645362802,0.44,0.513,1,0.947226279383821
ATOH7,0.118320472679102,-0.175995472115803,0.426,0.474,1,0.947226279383821
LBX2,0.120462100284768,0.172439755702436,0.522,0.474,1,0.947226279383821
POU3F2,0.122148694474361,0.196559044500605,0.517,0.474,1,0.947226279383821
INSM1,0.123120716749929,0.136107318131167,0.483,0.404,1,0.947226279383821
HOXA4,0.124098769113692,-0.161760502583431,0.498,0.545,1,0.947226279383821
GSC,0.125329847241421,0.206106894586137,0.502,0.481,1,0.947226279383821
TFEC,0.127569750250979,0.138492278113223,0.555,0.468,1,0.947226279383821
CREB3L4,0.130094918909844,-0.110338855802189,0.435,0.526,1,0.947226279383821
ASCL1,0.136841934655086,0.160535220442208,0.512,0.455,1,0.947226279383821
DUXA,0.137371915533537,0.156240874354555,0.526,0.468,1,0.947226279383821
TBX18,0.137903477908213,0.151756140708352,0.541,0.494,1,0.947226279383821
PROP1,0.138436624353846,0.142367544908218,0.536,0.481,1,0.947226279383821
NEUROD2,0.140855455014791,0.149746763475764,0.512,0.449,1,0.947226279383821
ZKSCAN1,0.1419408649543,0.146787884517352,0.536,0.474,1,0.947226279383821
HOXB13,0.142759129740234,0.140821732328577,0.526,0.474,1,0.947226279383821
POU2F2,0.146346835033636,0.161201199749054,0.522,0.429,1,0.947226279383821
MYF5,0.146625644399391,0.156703414521697,0.488,0.397,1,0.947226279383821
NR2F6(var.3),0.147744946322949,0.157093551269344,0.488,0.423,1,0.947226279383821
TBX2,0.148025789468316,0.148831096678879,0.522,0.526,1,0.947226279383821
HES7,0.150287237136709,0.145381417038046,0.507,0.449,1,0.947226279383821
ZNF16,0.150856694345704,0.126071065814142,0.478,0.423,1,0.947226279383821
PLAGL2,0.152574933782282,0.125309581171485,0.555,0.494,1,0.947226279383821
PITX2,0.153439619176508,0.140671437016079,0.512,0.436,1,0.947226279383821
NR2F2,0.154598323182146,0.187111896132946,0.45,0.455,1,0.947226279383821
NFYA,0.155180162089361,0.184083470123775,0.445,0.378,1,0.947226279383821
LBX1,0.156348825688719,0.131046731130731,0.478,0.429,1,0.947226279383821
PAX7,0.156348825688719,0.161839101956394,0.526,0.474,1,0.947226279383821
JUN::JUNB,0.16380469330359,-0.189924897082673,0.392,0.5,1,0.947226279383821
SMAD5,0.16563334218608,0.207377452992034,0.526,0.481,1,0.947226279383821
TFDP1,0.16686094737388,-0.104023853819276,0.426,0.532,1,0.947226279383821
NR2C1,0.168095378443921,0.0985268167281635,0.522,0.404,1,0.947226279383821
FOXC2,0.169025692053617,0.149093059606612,0.565,0.468,1,0.947226279383821
CEBPA,0.1731017193637,0.220900534225012,0.636,0.564,1,0.947226279383821
SMAD3,0.175007559408451,0.12471918894329,0.512,0.468,1,0.947226279383821
TP63,0.176607686047299,0.180782477805691,0.536,0.5,1,0.947226279383821
SOX15,0.176607686047299,0.127146586662381,0.493,0.429,1,0.947226279383821
