sample_name,cellr_ID,fastq_ID,barcode_f,bam_f
Control,P2,BC_10xATAC_P2,/data2/isshamie/mito_lineage/data/processed/mtscATAC/jan21_2021/MTblacklist/P2/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/jan21_2021/MTblacklist/P2/outs/possorted_bam.bam
Flt3l,J2,BC_10xATAC_J2,/data2/isshamie/mito_lineage/data/processed/mtscATAC/jan21_2021/MTblacklist/J2/outs/filtered_peak_bc_matrix/barcodes.tsv,/data2/isshamie/mito_lineage/data/processed/mtscATAC/jan21_2021/MTblacklist/J2/outs/possorted_bam.bam
