"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"CTCFL",0.137332449258752,-0.161453765076333,0.32,0.422,1
"MEOX1",0.137911081365862,0.252536652211862,0.37,0.379,1
"ZNF354C",0.140244416999911,0.163889185778883,0.5,0.405,1
"GLIS2",0.142608002494328,0.210361667534242,0.49,0.405,1
"EGR1",0.142608002494328,0.183331475983553,0.46,0.371,1
"TFCP2",0.143801204500973,-0.20865740330895,0.36,0.466,1
"HOXA2",0.14560534228309,0.186926142730616,0.44,0.379,1
"POU4F1",0.146817695021516,0.233238540680253,0.47,0.422,1
"KLF17",0.146817695021516,0.157273144598915,0.41,0.362,1
"GLI3",0.147426759302501,0.191309244537139,0.44,0.397,1
"ZBTB7B",0.148650679684037,0.212063572737745,0.52,0.397,1
"HES2",0.148650679684037,-0.126118184367663,0.37,0.448,1
"MAFF",0.149265542158082,-0.169038095293067,0.39,0.509,1
"TCF21(var.2)",0.150501087543301,0.207466012848149,0.52,0.422,1
"NKX2-3",0.154254514030814,0.16639595197694,0.55,0.422,1
"RXRG(var.2)",0.156796040046978,-0.142894457246516,0.47,0.552,1
"ZSCAN29",0.157436355110842,0.160491975185955,0.52,0.422,1
"MAX::MYC",0.158078649728447,0.151815088081812,0.43,0.353,1
"NR2C2",0.158722926948238,0.13570787396047,0.51,0.448,1
"ZNF317",0.16263039441688,-0.185219524857552,0.47,0.517,1
"FOXD2",0.16263039441688,-0.178698937621346,0.36,0.371,1
"RUNX2",0.165275406022195,0.175187466598703,0.51,0.397,1
"NFIC",0.167280316998114,0.164018835004001,0.54,0.457,1
"LEF1",0.168627040687238,-0.20944675244551,0.4,0.457,1
"PRRX1",0.174095365470809,0.214782661174112,0.43,0.362,1
"UNCX",0.174095365470809,0.214782661174112,0.43,0.362,1
"ATF4",0.174788113826764,-0.300705572907842,0.44,0.448,1
"NR1I3",0.175482917711269,0.196514208769167,0.47,0.336,1
"NRL",0.179695061830982,-0.14993213546845,0.47,0.534,1
"TEAD1",0.180404331528861,0.166332508088826,0.49,0.405,1
"POU2F3",0.181829105871905,0.144194484605873,0.55,0.422,1
"IKZF1",0.183262211308662,0.214758666370904,0.57,0.483,1
"PAX1",0.192781914283382,-0.177089625095501,0.35,0.44,1
"FOXF2",0.194278165804047,0.119665869862069,0.56,0.422,1
"EGR4",0.198818028856611,0.146429743468128,0.48,0.414,1
"SRF",0.199582151351213,-0.17563015802717,0.44,0.5,1
"GFI1",0.200348416946222,-0.120436388587791,0.49,0.612,1
"TFAP2B",0.204211973100795,-0.114076349426395,0.39,0.422,1
"SOX15",0.204211973100795,0.148572749771903,0.41,0.353,1
"NKX2-2",0.204211973100795,-0.122874592315096,0.37,0.526,1
"SPIB",0.208129452921108,0.191747162078161,0.55,0.431,1
"IRF7",0.208919444458055,0.166196402779617,0.49,0.414,1
"POU4F3",0.20971160633114,0.209295612267962,0.44,0.431,1
"NR2C2(var.2)",0.211302449774087,-0.118186968236445,0.42,0.517,1
"TP73",0.214510275434219,0.130523721483387,0.46,0.379,1
"RXRB(var.2)",0.215317689749835,-0.142832436040072,0.42,0.483,1
"FOSL2::JUN(var.2)",0.216127291390171,-0.196893396243291,0.42,0.509,1
"SOHLH2",0.216939082410817,-0.214469355612386,0.44,0.457,1
"RARA::RXRA",0.225177849702574,0.151600470731234,0.51,0.44,1
"ZEB1",0.22769250634742,0.163280842520557,0.46,0.353,1
"FOSL1::JUND",0.22769250634742,-0.303060431421079,0.47,0.517,1
"ISL2",0.228535155808707,0.207592464626443,0.5,0.397,1
"JUNB",0.228535155808707,-0.343531979244221,0.52,0.526,1
"MYCN",0.230227111533545,0.19592563970072,0.44,0.371,1
"VDR",0.232781713904203,-0.199607989940059,0.38,0.431,1
"ASCL1",0.236219038695596,0.169762746772393,0.48,0.414,1
"HIC2",0.237083950577658,0.130521171043466,0.45,0.353,1
"POU2F1",0.237083950577658,0.182457478557035,0.52,0.474,1
"TFAP2C",0.237083950577658,-0.129355589990178,0.44,0.509,1
"FOXE1",0.23795109806099,-0.148415368967046,0.39,0.457,1
"MNX1",0.241442076429125,0.185504998244221,0.46,0.44,1
"BCL6B",0.242320426084683,-0.131214045757641,0.36,0.483,1
"HLF",0.243201020886924,0.148035939722222,0.49,0.397,1
"DMRTC2",0.244968952034391,0.161859559386853,0.48,0.397,1
"ZNF682",0.244968952034391,-0.128308831776988,0.39,0.509,1
"GSC",0.249428174920912,0.120911435209772,0.51,0.405,1
"FOSL1::JUN",0.250326784498892,-0.26558263557932,0.5,0.569,1
"ZNF282",0.251227652357493,0.170742776284424,0.5,0.466,1
"MSX1",0.254853733722641,0.119256602665418,0.53,0.422,1
"MSX2",0.254853733722641,0.119256602665418,0.53,0.422,1
"BSX",0.254853733722641,0.119256602665418,0.53,0.422,1
"BATF3",0.256680358840507,-0.297360745437603,0.49,0.552,1
"FOSL2::JUND(var.2)",0.257597071999081,-0.193899037190502,0.4,0.474,1
"HOXA7",0.257597071999081,0.179036374646344,0.49,0.405,1
"HOXB8",0.257597071999081,0.179036374646344,0.49,0.405,1
"HOXD8",0.257597071999081,0.179036374646344,0.49,0.405,1
"RXRB",0.264077655669816,0.143441928844343,0.54,0.526,1
"ONECUT3",0.265012551846513,0.115684858846663,0.46,0.379,1
"TFAP2A(var.2)",0.265949726009202,-0.107112293205251,0.41,0.414,1
"GATA1",0.266889179229896,0.121062760984334,0.42,0.431,1
"E2F1",0.271620667380031,0.136627874129738,0.46,0.422,1
"RELB",0.271620667380031,0.191115366938538,0.51,0.44,1
"SPIC",0.272573816384389,0.134781682466052,0.55,0.474,1
"PAX9",0.273529251411238,-0.105772077285979,0.33,0.405,1
"ZNF410",0.274486973377688,0.159785928082534,0.47,0.457,1
"EVX1",0.274486973377688,0.177217362609499,0.47,0.44,1
"NFYB",0.276409281699593,0.103926370945764,0.55,0.466,1
"HOXA13",0.278340748293193,0.198178991932162,0.49,0.414,1
