,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
NFYB,0.00200913662359989,0.310345271404677,0.641,0.467,1,0.970065982068275
ZKSCAN5,0.00707367122946196,-0.342462405653344,0.372,0.425,1,0.970065982068275
OLIG3,0.00968523791051079,-0.338917781212389,0.462,0.542,1,0.970065982068275
RBPJ,0.0100769385955538,0.225355288676977,0.5,0.375,1,0.970065982068275
OLIG2,0.0106211275270502,-0.335907440711488,0.442,0.517,1,0.970065982068275
GMEB2,0.0173135580762141,0.308318786781979,0.596,0.483,1,0.970065982068275
GRHL1,0.0193402507484591,-0.270598803421001,0.468,0.583,1,0.970065982068275
TBX19,0.0199792668715213,0.278653039112908,0.506,0.392,1,0.970065982068275
NKX2-5,0.0201418719775024,0.241903457522501,0.513,0.333,1,0.970065982068275
BACH2(var.2),0.0202236067363932,-0.265368054645557,0.41,0.508,1,0.970065982068275
ESR1,0.0245996325458602,0.266529761287798,0.603,0.433,1,0.970065982068275
TCF4,0.0254869322826421,0.253419887081735,0.596,0.508,1,0.970065982068275
IRF4,0.0297734132805626,-0.204817381011767,0.385,0.508,1,0.970065982068275
HOXA10,0.0317749233461063,-0.256815181619827,0.391,0.483,1,0.970065982068275
ZBTB7C,0.0321398522860968,-0.242663336636679,0.423,0.533,1,0.970065982068275
HOXC11,0.0330053461020346,-0.304491859391793,0.404,0.483,1,0.970065982068275
BHLHE23,0.0357224898098915,-0.242255888793054,0.468,0.55,1,0.970065982068275
BCL6B,0.0394943612142905,-0.278245673939262,0.436,0.533,1,0.970065982068275
SOHLH2,0.0408245462158977,-0.219516722792624,0.462,0.558,1,0.970065982068275
SREBF2(var.2),0.0442367773933781,-0.267500039394778,0.468,0.542,1,0.970065982068275
TBXT,0.0461973836516493,0.224451732108173,0.519,0.392,1,0.970065982068275
HOXC12,0.0468669687755019,-0.207239635028734,0.449,0.583,1,0.970065982068275
NEUROD2,0.0527087437867192,-0.279729547644848,0.429,0.5,1,0.970065982068275
OLIG1,0.054786463513368,-0.229252603937065,0.429,0.558,1,0.970065982068275
BARHL1,0.0549786880392098,0.226889393208236,0.506,0.425,1,0.970065982068275
SPDEF,0.0581315256350733,-0.246754560892292,0.442,0.525,1,0.970065982068275
PITX1,0.059351935103466,0.24175065813155,0.558,0.492,1,0.970065982068275
ONECUT3,0.059970068010193,0.165185705823064,0.564,0.4,1,0.970065982068275
NFIC(var.2),0.0616445652673938,-0.226628438020343,0.429,0.542,1,0.970065982068275
DUX4,0.061856573048143,0.150451374642543,0.551,0.442,1,0.970065982068275
ZEB1,0.0648885639678844,0.243827244407591,0.59,0.5,1,0.970065982068275
MSANTD3,0.0657770292128264,0.202994073249362,0.5,0.442,1,0.970065982068275
RARB(var.3),0.0666754975444857,0.144551842294583,0.596,0.442,1,0.970065982068275
BHLHE22,0.06827212469182,-0.216398665419943,0.442,0.492,1,0.970065982068275
NFATC4,0.0685027595312535,0.222130305302682,0.481,0.417,1,0.970065982068275
MYCN,0.0715597064447928,-0.200779077995655,0.442,0.542,1,0.970065982068275
TCF12(var.2),0.0732515129204765,0.228479802945461,0.583,0.483,1,0.970065982068275
TCF3,0.0737408515528272,0.234874150580831,0.564,0.492,1,0.970065982068275
SNAI2,0.074232859743298,0.209045269328897,0.558,0.433,1,0.970065982068275
BCL6,0.0747275474763186,-0.228733629352083,0.474,0.608,1,0.970065982068275
HOXD12,0.0752249247409529,-0.250412774115649,0.429,0.508,1,0.970065982068275
EGR2,0.0764802001954274,-0.22064698109366,0.385,0.492,1,0.970065982068275
NR1D2,0.0780090218545725,0.153112075667678,0.538,0.45,1,0.970065982068275
CDX1,0.0782662284000966,-0.151148252016519,0.397,0.492,1,0.970065982068275
NFIB,0.0782662284000966,-0.169200414293378,0.397,0.525,1,0.970065982068275
PPARA::RXRA,0.0822078148621491,-0.195369011485927,0.449,0.608,1,0.970065982068275
CREB3L1,0.0824762099752989,0.21072968466392,0.506,0.4,1,0.970065982068275
HOXC10,0.0824762099752989,-0.234020830021953,0.436,0.517,1,0.970065982068275
NEUROG1,0.0830151312660937,-0.200025890887911,0.481,0.542,1,0.970065982068275
CEBPA,0.0832856599506875,-0.35078374947399,0.487,0.55,1,0.970065982068275
POU4F1,0.0838288596657134,0.148206513624528,0.455,0.408,1,0.970065982068275
NFATC3,0.0888477770134273,0.221716922978544,0.519,0.433,1,0.970065982068275
SREBF2,0.0905735791361987,0.158696948444901,0.647,0.5,1,0.970065982068275
MSGN1,0.0917390224431481,-0.185487634106069,0.429,0.558,1,0.970065982068275
ZFP57,0.0953077931120057,0.200222370657054,0.513,0.492,1,0.970065982068275
NFE2L1,0.0959132573110678,-0.252645750319822,0.436,0.5,1,0.970065982068275
ONECUT1,0.0977481390767921,0.127261216626755,0.526,0.442,1,0.970065982068275
RORA(var.2),0.102778492798105,-0.183579007680002,0.442,0.542,1,0.970065982068275
ZNF274,0.103744217253015,-0.140905024342626,0.494,0.575,1,0.970065982068275
RXRB(var.2),0.107015465058419,0.192102484329397,0.487,0.45,1,0.970065982068275
HMBOX1,0.11276358586405,-0.142612368304865,0.449,0.567,1,0.970065982068275
HLF,0.113802770199452,-0.261819041639964,0.455,0.5,1,0.970065982068275
POU5F1B,0.11590375135219,0.188578151508033,0.513,0.4,1,0.970065982068275
HNF1B,0.116256860181189,0.192771264995938,0.5,0.433,1,0.970065982068275
REL,0.123127787260998,-0.234892383354618,0.474,0.567,1,0.970065982068275
EGR1,0.129156343010251,-0.146546085908851,0.385,0.5,1,0.970065982068275
RELA,0.133826346615315,-0.246799144717055,0.468,0.508,1,0.970065982068275
ZNF341,0.135411710119793,0.186483358516692,0.571,0.508,1,0.970065982068275
REST,0.141486279147161,-0.155489226423618,0.532,0.6,1,0.970065982068275
HES2,0.141486279147161,-0.187488677723456,0.462,0.567,1,0.970065982068275
SNAI1,0.14523026142704,0.196282675987261,0.538,0.467,1,0.970065982068275
NFIL3,0.14649497457229,-0.226799072892115,0.455,0.55,1,0.970065982068275
OTX1,0.151638204521492,0.12248180353998,0.545,0.45,1,0.970065982068275
PRDM1,0.152072938172554,-0.150267379092418,0.417,0.458,1,0.970065982068275
ZIC3,0.153382832717101,-0.152944319516301,0.468,0.517,1,0.970065982068275
TFDP1,0.153382832717101,-0.199523268920505,0.429,0.475,1,0.970065982068275
ELK4,0.156917822989591,0.154173079520894,0.538,0.5,1,0.970065982068275
TFCP2,0.157364004713577,-0.147610263709488,0.449,0.483,1,0.970065982068275
ATOH1(var.2),0.159158349715885,0.136609293221527,0.519,0.467,1,0.970065982068275
HOXD10,0.159158349715885,-0.206922130246809,0.423,0.5,1,0.970065982068275
FOS,0.161878834364458,-0.344003036390572,0.442,0.508,1,0.970065982068275
