"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"SHOX",0.000900721045988806,-0.464892755207548,0.337,0.531,0.570156422110914
"ISX",0.00112715990427764,-0.466320119948074,0.346,0.559,0.713492219407745
"RAX2",0.00112715990427764,-0.466320119948074,0.346,0.559,0.713492219407745
"SPI1",0.00140526747250973,0.597819979898881,0.548,0.364,0.88953431009866
"ETV6",0.00196042158961855,0.54121555501048,0.635,0.49,1
"LBX1",0.00203318888899029,-0.405170277496262,0.346,0.538,1
"PRRX1",0.0025851667353325,-0.432105792684864,0.308,0.483,1
"UNCX",0.0025851667353325,-0.432105792684864,0.308,0.483,1
"ZBTB7B",0.00308561564579043,-0.361601066798919,0.356,0.573,1
"CTCF",0.00378017886123778,-0.517576485912169,0.404,0.601,1
"ELF5",0.00389024721276884,0.449983300408012,0.644,0.448,1
"ZNF684",0.00431101926923821,-0.304656332419127,0.413,0.559,1
"NFIL3",0.00456222110285183,-0.491280091730919,0.423,0.566,1
"BATF3",0.00504801712549154,0.631523108116877,0.538,0.42,1
"IRF1",0.00542744850015646,0.300397034366091,0.5,0.357,1
"PLAGL2",0.00583244186478592,-0.330136653200602,0.413,0.497,1
"SPIB",0.00596242577421736,0.679894097603094,0.529,0.364,1
"BATF",0.006264481697322,0.642053671490847,0.587,0.441,1
"GRHL2",0.00643817898856479,-0.312069978880501,0.394,0.538,1
"ZIC1",0.00694781606454803,-0.300930464943446,0.375,0.531,1
"EN2",0.00778034843510052,-0.328219191704286,0.337,0.51,1
"RORA(var.2)",0.00860946237370941,-0.353900993400519,0.433,0.587,1
"FOSL1::JUN",0.00865521095769017,0.638608270428789,0.529,0.448,1
"PAX4",0.00888722892113418,-0.328631140385763,0.365,0.524,1
"TLX2",0.00888722892113418,-0.328631140385763,0.365,0.524,1
"LHX9",0.00888722892113418,-0.328631140385763,0.365,0.524,1
"PRRX2",0.00888722892113418,-0.328631140385763,0.365,0.524,1
"POU6F2",0.00902909168225404,-0.347124187790283,0.404,0.552,1
"BATF::JUN",0.00912478676705998,0.607854103919645,0.567,0.413,1
"FOS::JUND",0.00951668371029864,0.615093094423415,0.529,0.441,1
"POU2F1",0.0105628486948061,-0.307985536611485,0.433,0.594,1
"TP53",0.0108398735260639,-0.355342076948567,0.394,0.559,1
"FOSL2",0.0117100895430599,0.610500814707116,0.529,0.448,1
"ETV5",0.0122614725849127,0.347828116012316,0.625,0.503,1
"TEF",0.0123241353857631,-0.355073586511391,0.365,0.503,1
"FOSL1",0.0128357353618833,0.602033817313741,0.529,0.406,1
"LBX2",0.013032376955998,-0.303774894881931,0.327,0.462,1
"STAT1::STAT2",0.0136383811745302,0.383372645188847,0.538,0.385,1
"POU3F3",0.0138458434259918,-0.3156450845818,0.471,0.566,1
"NFE2",0.0141978104130194,0.585238296334533,0.567,0.441,1
"FOS::JUN",0.014269143661157,0.612992498899462,0.529,0.441,1
"FOSL2::JUN",0.014269143661157,0.624702775072865,0.548,0.448,1
"SRF",0.0144127592897928,-0.295738947792388,0.404,0.573,1
"JUN",0.0148512835479839,-0.366312288816782,0.462,0.573,1
"MSX1",0.015225658257764,-0.292357639278179,0.356,0.545,1
"MSX2",0.015225658257764,-0.292357639278179,0.356,0.545,1
"BSX",0.015225658257764,-0.292357639278179,0.356,0.545,1
"JDP2",0.0153777194282885,0.545346107589997,0.558,0.434,1
"DBP",0.0160786584031862,-0.355379094485418,0.385,0.497,1
"CUX1",0.0162381840432101,-0.369452361375311,0.365,0.538,1
"PPARG",0.0167251362871235,-0.320271656974956,0.375,0.538,1
"GSX1",0.017651257984772,-0.30085566524353,0.356,0.538,1
"FOSL1::JUND",0.017651257984772,0.530451147204928,0.481,0.441,1
"ELF1",0.0188947549374864,0.359703601535757,0.587,0.497,1
"CEBPA",0.0194507145729486,-0.576199558320559,0.5,0.58,1
"ALX3",0.0206056481913084,-0.335992657318873,0.442,0.503,1
"JUNB",0.0220282508449895,0.496647803984518,0.49,0.42,1
"IRF2",0.0221330587968556,0.328855237485192,0.519,0.413,1
"LHX6",0.0223439765062006,-0.296313849119447,0.365,0.51,1
"MIXL1",0.0223439765062006,-0.302747303727321,0.356,0.483,1
"RARA::RXRG",0.0250145002119463,-0.29071665301938,0.404,0.524,1
"HMBOX1",0.0263281238788432,-0.23799161565298,0.375,0.503,1
"FOS::JUNB",0.0264504479924112,0.557143602518484,0.529,0.441,1
"FOSL1::JUNB",0.0271947525114915,0.529248133259667,0.519,0.42,1
"ZIC3",0.0291350440413669,-0.242729174276838,0.433,0.559,1
"NKX2-8",0.0292685304937587,-0.27096986164642,0.423,0.573,1
"SOX18",0.0298077515969146,-0.308809267137098,0.442,0.545,1
"ZNF136",0.0304937705053509,-0.260073654731414,0.404,0.58,1
"MITF",0.0304937705053509,0.262196239838348,0.596,0.42,1
"ZBTB18",0.0307719514411984,-0.276055454823454,0.356,0.448,1
"SOX4",0.0309118571266007,-0.278300460759674,0.394,0.497,1
"ZIC5",0.0311933072663529,-0.270787168385587,0.404,0.538,1
"BACH2",0.032195765768257,0.519033772645723,0.548,0.434,1
"NFIC(var.2)",0.0326337695718034,-0.273168201517025,0.452,0.524,1
"POU1F1",0.0330768667579964,-0.302977434981433,0.481,0.531,1
"FOSB::JUNB",0.0333751172967768,0.551947009698816,0.529,0.434,1
"NHLH2",0.0335251034303947,-0.184319602607463,0.327,0.462,1
"MEIS1(var.2)",0.0339785259245819,-0.278969719013932,0.462,0.566,1
"POU4F3",0.0353703751442524,-0.281797680246713,0.423,0.545,1
"JUND",0.0361644400445714,0.485986684516997,0.51,0.406,1
"SREBF2(var.2)",0.0363250635286859,0.250778975945873,0.606,0.503,1
