"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"STAT1::STAT2",6.31259750429704e-05,-0.490577545495364,0.233,0.385,0.0399587422022002
"IRF3",0.00135441500884606,-0.315884415979784,0.316,0.448,0.857344700599558
"MEIS1(var.2)",0.00149300041003835,-0.352082194025421,0.395,0.566,0.945069259554275
"HOXB4",0.0017533100278904,-0.329862822611588,0.419,0.559,1
"ELK4",0.0039778110638924,-0.29557190849923,0.419,0.538,1
"IRF7",0.00403074872685423,-0.321146870068143,0.33,0.469,1
"ZNF384",0.00411135500797427,-0.277910074086305,0.358,0.483,1
"PHOX2B",0.00436202748368743,-0.302800406749414,0.372,0.552,1
"EBF3",0.00538678300933653,-0.26580233216106,0.377,0.524,1
"HOXC4",0.00559817584101422,-0.325216253244657,0.465,0.552,1
"IRF1",0.00986106929484008,-0.257558081884177,0.265,0.357,1
"IRF2",0.0106629942940383,-0.306553616567247,0.335,0.413,1
"LEF1",0.0110193771978244,-0.262703004317627,0.437,0.566,1
"IRF4",0.011659931809091,-0.301059572852594,0.34,0.448,1
"SOX18",0.0134667767886658,-0.259366998005164,0.447,0.545,1
"ZKSCAN5",0.0141491284949858,-0.297938128866781,0.312,0.441,1
"PRDM1",0.0150340264634166,-0.264867630459273,0.405,0.483,1
"MEF2C",0.0153396396287815,-0.227419270621367,0.358,0.476,1
"ZBTB12",0.0174380841703346,-0.23821334304281,0.391,0.49,1
"NKX6-3",0.018814522629034,-0.274497625417653,0.423,0.51,1
"RBPJ",0.0189731757972416,-0.201908989441065,0.386,0.497,1
"YY1",0.0201168640535103,-0.249423317492441,0.451,0.538,1
"NR2C1",0.0228342091276626,-0.219992054385666,0.433,0.552,1
"HOXD4",0.0239812972841582,-0.245994960651392,0.451,0.559,1
"SREBF1",0.0241772593652068,-0.234371149878294,0.493,0.594,1
"ELK1",0.0253824296470151,-0.233557374201774,0.414,0.559,1
"RARA::RXRG",0.0257955429399031,-0.247342964235645,0.447,0.524,1
"IRF9",0.027142321171052,-0.286388002226933,0.33,0.378,1
"NFATC4",0.0290065429900821,-0.229441179980372,0.414,0.524,1
"GRHL2",0.0298610957000412,-0.187120433885953,0.419,0.538,1
"JUND(var.2)",0.0304160980918798,-0.217410936367323,0.47,0.552,1
"ELF2",0.0305762887486321,-0.250335759866595,0.414,0.49,1
"ERG",0.0318840962686757,-0.203514379091751,0.456,0.573,1
"POU6F2",0.0319674030335799,-0.221049757316942,0.414,0.552,1
"NFIC::TLX1",0.0325557911058301,-0.249213167165568,0.498,0.566,1
"ETV3",0.0340234750118552,-0.195651067641866,0.447,0.566,1
"PKNOX1",0.0343769184071731,-0.227164013485963,0.433,0.531,1
"ETS2",0.0369399420274374,-0.169713904679123,0.456,0.601,1
"HEY1",0.0379904646798773,0.221009886200288,0.526,0.455,1
"RORA",0.0384763111116624,-0.188370734071479,0.419,0.552,1
"STAT1",0.0388687812220111,-0.194561361618354,0.377,0.517,1
"HNF4G",0.039165361035376,-0.250073192545105,0.442,0.503,1
"STAT3",0.0398648619698256,-0.168560860054856,0.372,0.462,1
"TCF7",0.0413995468393913,-0.186925202171169,0.409,0.524,1
"ESR2",0.0420272811210884,-0.223473735887634,0.447,0.524,1
"PAX5",0.0424502302764924,-0.220712229739179,0.386,0.524,1
