,Cluster,Sample,0_0,0_1,0_2,0_3,10_0,10_1,10_2,10_3,11_0,11_1,11_2,11_3,12_0,12_1,12_2,12_3,13_0,13_1,13_2,13_3,14_0,14_1,14_2,14_3,15_0,15_1,15_2,15_3,16_0,16_1,16_2,16_3,17_0,17_1,17_2,17_3,18_0,18_1,18_2,18_3,19_0,19_1,19_2,19_3,1_0,1_1,1_2,1_3,2_0,2_1,2_2,2_3,3_0,3_1,3_2,3_3,4_0,4_1,4_2,4_3,5_0,5_1,5_2,5_3,6_0,6_1,6_2,6_3,7_0,7_1,7_2,7_3,8_0,8_1,8_2,9_0,9_1,9_2,9_3
0,1,J2,0.058823529411764705,0.07142857142857142,0.04081632653061224,0.11764705882352941,0.16666666666666666,0.038461538461538464,0.1,0.15151515151515152,0.05357142857142857,0.09090909090909091,0.19318181818181818,0.07142857142857142,0.10344827586206896,0.07854984894259819,0.0625,0.15789473684210525,0.07194244604316546,0.058823529411764705,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.18604651162790697,0.10526315789473684,0.0967741935483871,0.058823529411764705,0.06666666666666667,0.09389671361502347,0.125,0.11627906976744186,0.04938271604938271,0.0759493670886076,0.1,0.1111111111111111,0.20689655172413793,0.125,0.19230769230769232,0.10638297872340426,0.06666666666666667,0.07692307692307693,0.15,0.0625,0.052083333333333336,0.08333333333333333,0.22115384615384615,0.06779661016949153,0.17647058823529413,0.10344827586206896,0.211340206185567,0.10309278350515463,0.11764705882352941,0.06451612903225806,0.21052631578947367,0.17123287671232876,0.05,0.10204081632653061,0.1724137931034483,0.13793103448275862,0.041666666666666664,0.08823529411764706,0.07407407407407407,0.06578947368421052,0.07142857142857142,0.125,0.125,0.13636363636363635,0.07142857142857142,0.16216216216216217,0.07936507936507936,0.0967741935483871,0.04,0.041666666666666664,0.18181818181818182,0.06451612903225806,0.024390243902439025,0.0625,0.025,0.04672897196261682,0.0851063829787234,0.0625
2,2,J2,0.0392156862745098,0.07142857142857142,0.02040816326530612,0.058823529411764705,0.03333333333333333,0.038461538461538464,0.06,0.06060606060606061,0.017857142857142856,0.030303030303030304,0.045454545454545456,0.07142857142857142,0.0603448275862069,0.01812688821752266,0.03125,0.05263157894736842,0.02877697841726619,0.058823529411764705,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.023255813953488372,0.02631578947368421,0.06451612903225806,0.058823529411764705,0.06666666666666667,0.0892018779342723,0.0625,0.046511627906976744,0.04938271604938271,0.08860759493670886,0.05,0.018518518518518517,0.034482758620689655,0.025,0.038461538461538464,0.0425531914893617,0.06666666666666667,0.07692307692307693,0.05,0.0625,0.041666666666666664,0.027777777777777776,0.02564102564102564,0.01694915254237288,0.029411764705882353,0.06896551724137931,0.02577319587628866,0.061855670103092786,0.058823529411764705,0.08064516129032258,0.05263157894736842,0.0410958904109589,0.05,0.02040816326530612,0.034482758620689655,0.034482758620689655,0.08333333333333333,0.014705882352941176,0.037037037037037035,0.02631578947368421,0.07142857142857142,0.0875,0.0625,0.09090909090909091,0.047619047619047616,0.0945945945945946,0.031746031746031744,0.06451612903225806,0.04,0.20833333333333334,0.045454545454545456,0.06451612903225806,0.04878048780487805,0.125,0.05,0.018691588785046728,0.10638297872340426,0.0625
4,3,J2,0.09803921568627451,0.07142857142857142,0.32653061224489793,0.058823529411764705,0.1,0.19230769230769232,0.12,0.030303030303030304,0.08928571428571429,0.06060606060606061,0.25,0.07142857142857142,0.06896551724137931,0.13595166163141995,0.15625,0.05263157894736842,0.1079136690647482,0.058823529411764705,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.06976744186046512,0.21052631578947367,0.03225806451612903,0.058823529411764705,0.06666666666666667,0.17370892018779344,0.0625,0.08139534883720931,0.07407407407407407,0.11392405063291139,0.05,0.037037037037037035,0.10344827586206896,0.05,0.038461538461538464,0.1702127659574468,0.13333333333333333,0.10256410256410256,0.05,0.0625,0.052083333333333336,0.3611111111111111,0.016025641025641024,0.1016949152542373,0.029411764705882353,0.06896551724137931,0.005154639175257732,0.09278350515463918,0.058823529411764705,0.11290322580645161,0.10526315789473684,0.0958904109589041,0.1,0.42857142857142855,0.06896551724137931,0.034482758620689655,0.041666666666666664,0.29411764705882354,0.037037037037037035,0.06578947368421052,0.07142857142857142,0.15,0.0625,0.045454545454545456,0.09523809523809523,0.2702702702702703,0.031746031746031744,0.06451612903225806,0.04,0.08333333333333333,0.045454545454545456,0.0967741935483871,0.07317073170731707,0.0625,0.075,0.102803738317757,0.0851063829787234,0.125
6,4,J2,0.3137254901960784,0.07142857142857142,0.02040816326530612,0.11764705882352941,0.2,0.07692307692307693,0.16,0.06060606060606061,0.07142857142857142,0.2727272727272727,0.022727272727272728,0.07142857142857142,0.25,0.09667673716012085,0.0625,0.05263157894736842,0.16546762589928057,0.3137254901960784,0.06666666666666667,0.047619047619047616,0.16666666666666666,0.18604651162790697,0.05263157894736842,0.03225806451612903,0.058823529411764705,0.13333333333333333,0.08450704225352113,0.0625,0.23255813953488372,0.08641975308641975,0.16455696202531644,0.05,0.3333333333333333,0.034482758620689655,0.275,0.11538461538461539,0.1276595744680851,0.06666666666666667,0.15384615384615385,0.05,0.0625,0.2916666666666667,0.027777777777777776,0.07692307692307693,0.05084745762711865,0.14705882352941177,0.13793103448275862,0.04639175257731959,0.1958762886597938,0.058823529411764705,0.14516129032258066,0.05263157894736842,0.2191780821917808,0.1,0.02040816326530612,0.06896551724137931,0.20689655172413793,0.16666666666666666,0.04411764705882353,0.037037037037037035,0.15789473684210525,0.07142857142857142,0.075,0.0625,0.22727272727272727,0.09523809523809523,0.0945945945945946,0.031746031746031744,0.12903225806451613,0.2,0.16666666666666666,0.045454545454545456,0.22580645161290322,0.14634146341463414,0.0625,0.225,0.2897196261682243,0.1702127659574468,0.0625
8,5,J2,0.058823529411764705,0.07142857142857142,0.02040816326530612,0.11764705882352941,0.03333333333333333,0.038461538461538464,0.08,0.09090909090909091,0.05357142857142857,0.06060606060606061,0.045454545454545456,0.07142857142857142,0.07758620689655173,0.03625377643504532,0.03125,0.10526315789473684,0.05755395683453238,0.0196078431372549,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.023255813953488372,0.07894736842105263,0.06451612903225806,0.058823529411764705,0.06666666666666667,0.04225352112676056,0.0625,0.05813953488372093,0.1111111111111111,0.06329113924050633,0.1,0.037037037037037035,0.034482758620689655,0.025,0.07692307692307693,0.02127659574468085,0.06666666666666667,0.05128205128205128,0.1,0.0625,0.07291666666666667,0.027777777777777776,0.15384615384615385,0.1016949152542373,0.08823529411764706,0.034482758620689655,0.14261168384879724,0.08247422680412371,0.058823529411764705,0.03225806451612903,0.05263157894736842,0.04794520547945205,0.05,0.030612244897959183,0.10344827586206896,0.06896551724137931,0.08333333333333333,0.029411764705882353,0.14814814814814814,0.09210526315789473,0.07142857142857142,0.025,0.125,0.045454545454545456,0.07142857142857142,0.04054054054054054,0.20634920634920634,0.0967741935483871,0.04,0.041666666666666664,0.045454545454545456,0.06451612903225806,0.07317073170731707,0.0625,0.125,0.056074766355140186,0.02127659574468085,0.0625
10,6,J2,0.0392156862745098,0.07142857142857142,0.04081632653061224,0.058823529411764705,0.03333333333333333,0.038461538461538464,0.08,0.030303030303030304,0.21428571428571427,0.06060606060606061,0.06818181818181818,0.07142857142857142,0.06896551724137931,0.06646525679758308,0.15625,0.10526315789473684,0.05755395683453238,0.0784313725490196,0.06666666666666667,0.09523809523809523,0.1111111111111111,0.06976744186046512,0.02631578947368421,0.12903225806451613,0.058823529411764705,0.06666666666666667,0.09389671361502347,0.0625,0.06976744186046512,0.25925925925925924,0.08860759493670886,0.1,0.09259259259259259,0.06896551724137931,0.175,0.038461538461538464,0.0425531914893617,0.06666666666666667,0.1282051282051282,0.05,0.125,0.08333333333333333,0.027777777777777776,0.016025641025641024,0.13559322033898305,0.029411764705882353,0.10344827586206896,0.015463917525773196,0.061855670103092786,0.058823529411764705,0.11290322580645161,0.05263157894736842,0.06164383561643835,0.1,0.02040816326530612,0.034482758620689655,0.034482758620689655,0.08333333333333333,0.04411764705882353,0.14814814814814814,0.07894736842105263,0.07142857142857142,0.1125,0.0625,0.030303030303030304,0.07142857142857142,0.05405405405405406,0.23809523809523808,0.03225806451612903,0.08,0.08333333333333333,0.045454545454545456,0.0967741935483871,0.07317073170731707,0.125,0.2,0.08411214953271028,0.06382978723404255,0.0625
12,7,J2,0.0784313725490196,0.07142857142857142,0.04081632653061224,0.058823529411764705,0.06666666666666667,0.07692307692307693,0.04,0.18181818181818182,0.05357142857142857,0.12121212121212122,0.03409090909090909,0.07142857142857142,0.08620689655172414,0.1148036253776435,0.03125,0.10526315789473684,0.08633093525179857,0.09803921568627451,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.13953488372093023,0.05263157894736842,0.0967741935483871,0.058823529411764705,0.06666666666666667,0.03755868544600939,0.0625,0.046511627906976744,0.037037037037037035,0.012658227848101266,0.05,0.05555555555555555,0.06896551724137931,0.05,0.038461538461538464,0.06382978723404255,0.06666666666666667,0.05128205128205128,0.05,0.0625,0.08333333333333333,0.027777777777777776,0.09935897435897435,0.01694915254237288,0.08823529411764706,0.034482758620689655,0.12714776632302405,0.08247422680412371,0.11764705882352941,0.11290322580645161,0.05263157894736842,0.06164383561643835,0.05,0.01020408163265306,0.06896551724137931,0.06896551724137931,0.08333333333333333,0.014705882352941176,0.07407407407407407,0.05263157894736842,0.07142857142857142,0.075,0.0625,0.015151515151515152,0.14285714285714285,0.013513513513513514,0.047619047619047616,0.0967741935483871,0.08,0.041666666666666664,0.09090909090909091,0.06451612903225806,0.0975609756097561,0.0625,0.025,0.14018691588785046,0.0425531914893617,0.0625
14,8,J2,0.17647058823529413,0.07142857142857142,0.02040816326530612,0.058823529411764705,0.03333333333333333,0.11538461538461539,0.1,0.15151515151515152,0.08928571428571429,0.09090909090909091,0.045454545454545456,0.07142857142857142,0.10344827586206896,0.06948640483383686,0.03125,0.05263157894736842,0.02877697841726619,0.058823529411764705,0.13333333333333333,0.09523809523809523,0.1111111111111111,0.06976744186046512,0.02631578947368421,0.06451612903225806,0.058823529411764705,0.06666666666666667,0.06572769953051644,0.125,0.1511627906976744,0.09876543209876543,0.11392405063291139,0.05,0.14814814814814814,0.06896551724137931,0.025,0.07692307692307693,0.0425531914893617,0.06666666666666667,0.05128205128205128,0.15,0.0625,0.10416666666666667,0.027777777777777776,0.17307692307692307,0.05084745762711865,0.11764705882352941,0.06896551724137931,0.14604810996563575,0.12371134020618557,0.11764705882352941,0.11290322580645161,0.05263157894736842,0.14383561643835616,0.05,0.030612244897959183,0.034482758620689655,0.13793103448275862,0.08333333333333333,0.014705882352941176,0.1111111111111111,0.10526315789473684,0.07142857142857142,0.075,0.0625,0.13636363636363635,0.14285714285714285,0.05405405405405406,0.06349206349206349,0.12903225806451613,0.04,0.08333333333333333,0.09090909090909091,0.03225806451612903,0.17073170731707318,0.0625,0.025,0.08411214953271028,0.1276595744680851,0.0625
16,9,J2,0.0196078431372549,0.07142857142857142,0.02040816326530612,0.058823529411764705,0.03333333333333333,0.038461538461538464,0.08,0.030303030303030304,0.10714285714285714,0.030303030303030304,0.022727272727272728,0.07142857142857142,0.0603448275862069,0.030211480362537766,0.09375,0.05263157894736842,0.02877697841726619,0.0392156862745098,0.06666666666666667,0.09523809523809523,0.05555555555555555,0.023255813953488372,0.02631578947368421,0.0967741935483871,0.11764705882352941,0.06666666666666667,0.051643192488262914,0.0625,0.05813953488372093,0.037037037037037035,0.0759493670886076,0.05,0.05555555555555555,0.034482758620689655,0.05,0.15384615384615385,0.02127659574468085,0.06666666666666667,0.05128205128205128,0.05,0.0625,0.07291666666666667,0.027777777777777776,0.09615384615384616,0.06779661016949153,0.058823529411764705,0.10344827586206896,0.10824742268041238,0.07216494845360824,0.058823529411764705,0.04838709677419355,0.10526315789473684,0.0410958904109589,0.05,0.04081632653061224,0.06896551724137931,0.06896551724137931,0.041666666666666664,0.014705882352941176,0.07407407407407407,0.039473684210526314,0.07142857142857142,0.1125,0.0625,0.10606060606060606,0.07142857142857142,0.013513513513513514,0.07936507936507936,0.12903225806451613,0.08,0.041666666666666664,0.13636363636363635,0.03225806451612903,0.024390243902439025,0.0625,0.025,0.028037383177570093,0.1276595744680851,0.0625
18,10,J2,0.0196078431372549,0.07142857142857142,0.24489795918367346,0.058823529411764705,0.06666666666666667,0.07692307692307693,0.02,0.030303030303030304,0.08928571428571429,0.030303030303030304,0.125,0.07142857142857142,0.034482758620689655,0.11782477341389729,0.125,0.05263157894736842,0.09352517985611511,0.0196078431372549,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.046511627906976744,0.21052631578947367,0.0967741935483871,0.11764705882352941,0.06666666666666667,0.07511737089201878,0.0625,0.023255813953488372,0.04938271604938271,0.06329113924050633,0.05,0.018518518518518517,0.1724137931034483,0.025,0.038461538461538464,0.06382978723404255,0.06666666666666667,0.02564102564102564,0.05,0.0625,0.052083333333333336,0.2222222222222222,0.00641025641025641,0.1016949152542373,0.08823529411764706,0.034482758620689655,0.005154639175257732,0.041237113402061855,0.058823529411764705,0.08064516129032258,0.05263157894736842,0.0273972602739726,0.1,0.15306122448979592,0.034482758620689655,0.034482758620689655,0.041666666666666664,0.17647058823529413,0.037037037037037035,0.11842105263157894,0.07142857142857142,0.0375,0.0625,0.06060606060606061,0.047619047619047616,0.05405405405405406,0.07936507936507936,0.03225806451612903,0.04,0.041666666666666664,0.045454545454545456,0.06451612903225806,0.12195121951219512,0.0625,0.075,0.04672897196261682,0.02127659574468085,0.0625
