,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
GBX1,0.00462884307755058,-0.306439503256798,0.373,0.576,1,0.936632268396089
HOXC10,0.0082782461832402,-0.371147258267259,0.366,0.508,1,0.936632268396089
DLX5,0.00855489527161341,-0.296970339668971,0.381,0.553,1,0.936632268396089
GRHL2,0.00863544167798918,-0.298447980304522,0.373,0.53,1,0.936632268396089
DPRX,0.0118637487013264,0.288280753866187,0.537,0.364,1,0.936632268396089
LEF1,0.0145719490401702,-0.226298539958714,0.373,0.492,1,0.936632268396089
ZNF263,0.0148968942978992,-0.16193753375531,0.425,0.53,1,0.936632268396089
RXRB(var.2),0.0157029393955713,-0.294503080100101,0.425,0.561,1,0.936632268396089
HOXC11,0.0166916074342544,-0.301578226262717,0.418,0.538,1,0.936632268396089
PITX3,0.0189148695762165,-0.28648560525554,0.41,0.553,1,0.936632268396089
RARB(var.3),0.0229732460534888,-0.297691935891191,0.44,0.553,1,0.936632268396089
E2F8,0.0251682367105582,-0.27374620923849,0.418,0.538,1,0.936632268396089
NR2F2,0.026766909675095,0.266879881534184,0.56,0.462,1,0.936632268396089
GCM2,0.027318939732617,-0.265462571277684,0.381,0.5,1,0.936632268396089
HOXB9,0.0277676101683401,-0.341017481460448,0.373,0.5,1,0.936632268396089
ZNF384,0.0283373716076806,-0.172573697608764,0.358,0.447,1,0.936632268396089
SREBF1(var.2),0.031591208433052,-0.221823321814164,0.336,0.515,1,0.936632268396089
HOXA4,0.0335336812649481,0.268211339216733,0.567,0.47,1,0.936632268396089
HESX1,0.034474581920243,-0.227203823997322,0.358,0.508,1,0.936632268396089
TFDP1,0.0368539666970058,-0.219897296333397,0.366,0.47,1,0.936632268396089
CREB3L1,0.043009567981516,-0.260296809923124,0.41,0.53,1,0.936632268396089
PRDM4,0.0435043737259525,-0.222939539079419,0.455,0.561,1,0.936632268396089
NFATC2,0.0448474180294346,-0.257464921086771,0.41,0.485,1,0.936632268396089
ZBTB26,0.04501773175494,-0.249947394067991,0.433,0.515,1,0.936632268396089
PAX4,0.0460511061868411,-0.231256655649682,0.396,0.515,1,0.936632268396089
TLX2,0.0460511061868411,-0.231256655649682,0.396,0.515,1,0.936632268396089
LHX9,0.0460511061868411,-0.231256655649682,0.396,0.515,1,0.936632268396089
PRRX2,0.0460511061868411,-0.231256655649682,0.396,0.515,1,0.936632268396089
HOXD10,0.0476385800905229,-0.250866568406203,0.396,0.545,1,0.936632268396089
MYOD1,0.0485402175098492,-0.196472961293318,0.388,0.53,1,0.936632268396089
EN2,0.050386521977528,-0.242967832561319,0.41,0.515,1,0.936632268396089
NKX2-5,0.0540567648500795,-0.188156599745272,0.366,0.538,1,0.936632268396089
HOXD12,0.0550588803108805,-0.21532580622544,0.403,0.515,1,0.936632268396089
CEBPD,0.0558716812183531,-0.413292272704592,0.448,0.523,1,0.936632268396089
HOXC9,0.0575272807079683,-0.296051997887342,0.418,0.455,1,0.936632268396089
PITX2,0.0585825961958024,-0.229235830860049,0.425,0.47,1,0.936632268396089
ZNF740,0.0594383805728999,-0.143168561402541,0.418,0.553,1,0.936632268396089
SMAD5,0.0603045122652332,0.180677915613739,0.56,0.462,1,0.936632268396089
HES5,0.0620681757097794,-0.193436705091322,0.351,0.455,1,0.936632268396089
