,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
STAT1::STAT2,6.31259750429704e-05,-0.490577545495364,0.233,0.385,0.0399587422022002,0.0181171548373325
IRF3,0.00135441500884606,-0.315884415979784,0.316,0.448,0.857344700599558,0.125799994501137
MEIS1(var.2),0.00149300041003835,-0.352082194025421,0.395,0.566,0.945069259554275,0.125799994501137
HOXB4,0.0017533100278904,-0.329862822611588,0.419,0.559,1,0.125799994501137
ELK4,0.0039778110638924,-0.29557190849923,0.419,0.538,1,0.156487735977287
IRF7,0.00403074872685423,-0.321146870068143,0.33,0.469,1,0.156487735977287
ZNF384,0.00411135500797427,-0.277910074086305,0.358,0.483,1,0.156487735977287
PHOX2B,0.00436202748368743,-0.302800406749414,0.372,0.552,1,0.156487735977287
EBF3,0.00538678300933653,-0.26580233216106,0.377,0.524,1,0.160667646637108
HOXC4,0.00559817584101422,-0.325216253244657,0.465,0.552,1,0.160667646637108
IRF1,0.00986106929484008,-0.257558081884177,0.265,0.357,1,0.239028602086366
IRF2,0.0106629942940383,-0.306553616567247,0.335,0.413,1,0.239028602086366
LEF1,0.0110193771978244,-0.262703004317627,0.437,0.566,1,0.239028602086366
IRF4,0.011659931809091,-0.301059572852594,0.34,0.448,1,0.239028602086366
SOX18,0.0134667767886658,-0.259366998005164,0.447,0.545,1,0.244582031858905
ZKSCAN5,0.0141491284949858,-0.297938128866781,0.312,0.441,1,0.244582031858905
PRDM1,0.0150340264634166,-0.264867630459273,0.405,0.483,1,0.244582031858905
MEF2C,0.0153396396287815,-0.227419270621367,0.358,0.476,1,0.244582031858905
ZBTB12,0.0174380841703346,-0.23821334304281,0.391,0.49,1,0.259300069228968
NKX6-3,0.018814522629034,-0.274497625417653,0.423,0.51,1,0.259300069228968
RBPJ,0.0189731757972416,-0.201908989441065,0.386,0.497,1,0.259300069228968
YY1,0.0201168640535103,-0.249423317492441,0.451,0.538,1,0.262433635607158
NR2C1,0.0228342091276626,-0.219992054385666,0.433,0.552,1,0.264852523681594
HOXD4,0.0239812972841582,-0.245994960651392,0.451,0.559,1,0.264852523681594
SREBF1,0.0241772593652068,-0.234371149878294,0.493,0.594,1,0.264852523681594
ELK1,0.0253824296470151,-0.233557374201774,0.414,0.559,1,0.264852523681594
RARA::RXRG,0.0257955429399031,-0.247342964235645,0.447,0.524,1,0.264852523681594
IRF9,0.027142321171052,-0.286388002226933,0.33,0.378,1,0.264852523681594
NFATC4,0.0290065429900821,-0.229441179980372,0.414,0.524,1,0.264852523681594
GRHL2,0.0298610957000412,-0.187120433885953,0.419,0.538,1,0.264852523681594
JUND(var.2),0.0304160980918798,-0.217410936367323,0.47,0.552,1,0.264852523681594
ELF2,0.0305762887486321,-0.250335759866595,0.414,0.49,1,0.264852523681594
ERG,0.0318840962686757,-0.203514379091751,0.456,0.573,1,0.264852523681594
POU6F2,0.0319674030335799,-0.221049757316942,0.414,0.552,1,0.264852523681594
NFIC::TLX1,0.0325557911058301,-0.249213167165568,0.498,0.566,1,0.264852523681594
ETV3,0.0340234750118552,-0.195651067641866,0.447,0.566,1,0.264852523681594
PKNOX1,0.0343769184071731,-0.227164013485963,0.433,0.531,1,0.264852523681594
ETS2,0.0369399420274374,-0.169713904679123,0.456,0.601,1,0.264852523681594
HEY1,0.0379904646798773,0.221009886200288,0.526,0.455,1,0.264852523681594
RORA,0.0384763111116624,-0.188370734071479,0.419,0.552,1,0.264852523681594
STAT1,0.0388687812220111,-0.194561361618354,0.377,0.517,1,0.264852523681594
HNF4G,0.039165361035376,-0.250073192545105,0.442,0.503,1,0.264852523681594
STAT3,0.0398648619698256,-0.168560860054856,0.372,0.462,1,0.264852523681594
TCF7,0.0413995468393913,-0.186925202171169,0.409,0.524,1,0.264852523681594
ESR2,0.0420272811210884,-0.223473735887634,0.447,0.524,1,0.264852523681594
PAX5,0.0424502302764924,-0.220712229739179,0.386,0.524,1,0.264852523681594
ATF3,0.0454003168547952,-0.189598185231023,0.484,0.566,1,0.269224582642004
POU3F3,0.0456255531860252,-0.260507366155116,0.498,0.566,1,0.269224582642004
POU2F1,0.0459651726461958,-0.209610733119596,0.488,0.594,1,0.269224582642004
TFAP2C,0.0474615611305703,-0.192839849311182,0.433,0.49,1,0.272429360889474
DBP,0.0492388508968481,0.231201764470758,0.595,0.497,1,0.277089219752851
SHOX,0.0524517252342945,-0.23292944634796,0.451,0.531,1,0.280849560073004
HNF4A,0.0538628396675574,-0.224300871317507,0.442,0.531,1,0.280849560073004
MEF2D,0.055173036304943,-0.188067336249886,0.377,0.441,1,0.280849560073004
NR1H2::RXRA,0.0553055048646585,-0.212247386405593,0.447,0.552,1,0.280849560073004
RORB,0.0558380327067839,-0.173619798978935,0.447,0.587,1,0.280849560073004
NR4A2,0.0565096920598143,-0.220670833317037,0.447,0.559,1,0.280849560073004
BCL6,0.0569159059849542,-0.217405782168285,0.433,0.531,1,0.280849560073004
PBX3,0.0577356238477604,-0.201478429680653,0.414,0.497,1,0.280849560073004
ZNF263,0.0602538533626847,-0.128839629408911,0.353,0.483,1,0.284160036786635
DLX6,0.0603963841253823,-0.198986084812539,0.465,0.573,1,0.284160036786635
TCF7L1,0.0616917791317986,-0.199108991121108,0.423,0.517,1,0.284470413481339
TCF7L2,0.0637524892349286,-0.232502442328001,0.437,0.517,1,0.284470413481339
E2F3,0.0640514656987719,-0.206968688340964,0.46,0.552,1,0.284470413481339
PHOX2A,0.0655637634694256,-0.223434814116936,0.437,0.531,1,0.284470413481339
NFIX(var.2),0.0674172535426359,-0.200080591303605,0.414,0.51,1,0.284470413481339
REL,0.068676706006561,-0.231764707501674,0.414,0.517,1,0.284470413481339
HOXD13,0.0714172863932472,0.199154270073648,0.544,0.476,1,0.284470413481339
ELF4,0.0727376436655972,-0.198106674136335,0.419,0.51,1,0.284470413481339
SRF,0.0739092837537407,-0.186834202695207,0.498,0.573,1,0.284470413481339
ZIC3,0.0761261041053098,-0.170015459635392,0.419,0.559,1,0.284470413481339
MEF2A,0.080000993675919,-0.160067584816808,0.409,0.49,1,0.284470413481339
HOXA13,0.0812670046337471,0.186610626951058,0.521,0.406,1,0.284470413481339
