	Before	After	A/B
0	172	188	1.0930232558139534
1	206	195	0.9466019417475728
2	199	213	1.07035175879397
3	172	196	1.1395348837209303
4	187	198	1.0588235294117647
5	204	208	1.0196078431372548
6	193	198	1.0259067357512954
7	204	214	1.0490196078431373
8	195	200	1.0256410256410255
9	218	217	0.9954128440366973
10	196	215	1.096938775510204
11	188	191	1.0159574468085106
12	197	216	1.0964467005076142
13	190	215	1.131578947368421
14	215	239	1.1116279069767443
15	232	250	1.0775862068965518
16	189	186	0.9841269841269841
17	194	244	1.2577319587628866
18	208	240	1.1538461538461537
19	222	247	1.1126126126126126
20	222	228	1.027027027027027
21	193	197	1.0207253886010363
22	212	213	1.0047169811320755
23	196	219	1.1173469387755102
24	235	240	1.0212765957446808
25	215	268	1.2465116279069768
26	204	229	1.1225490196078431
27	218	241	1.1055045871559632
28	187	213	1.13903743315508
29	200	201	1.005
30	174	183	1.0517241379310345
31	182	202	1.10989010989011
32	206	217	1.0533980582524272
33	167	177	1.0598802395209581
34	185	193	1.0432432432432432
35	208	197	0.9471153846153846
36	196	215	1.096938775510204
37	191	190	0.9947643979057592
38	183	183	1.0
39	208	238	1.1442307692307692
40	220	227	1.0318181818181817
41	183	178	0.9726775956284153
42	204	212	1.0392156862745099
43	182	190	1.043956043956044
44	201	233	1.1592039800995024
45	191	206	1.0785340314136125
46	216	235	1.087962962962963
47	203	200	0.9852216748768473
48	211	218	1.033175355450237
49	203	202	0.9950738916256158
50	199	226	1.135678391959799
51	183	211	1.1530054644808743
52	200	205	1.025
53	214	203	0.9485981308411215
54	174	193	1.1091954022988506
55	178	202	1.1348314606741574
56	217	252	1.1612903225806452
57	202	197	0.9752475247524752
58	222	219	0.9864864864864865
59	202	202	1.0
60	223	242	1.0852017937219731
61	192	206	1.0729166666666667
62	217	247	1.1382488479262673
63	200	197	0.985
64	197	226	1.1472081218274113
65	206	226	1.0970873786407767
66	223	234	1.0493273542600896
67	180	190	1.0555555555555556
68	211	222	1.052132701421801
69	210	238	1.1333333333333333
70	189	201	1.0634920634920635
71	201	225	1.1194029850746268
72	216	205	0.9490740740740741
73	201	232	1.154228855721393
74	202	216	1.0693069306930694
75	222	235	1.0585585585585586
76	185	204	1.1027027027027028
77	180	171	0.95
78	198	224	1.1313131313131313
79	202	226	1.118811881188119
80	189	181	0.9576719576719577
81	206	230	1.116504854368932
82	202	211	1.0445544554455446
83	206	218	1.058252427184466
84	196	195	0.9948979591836735
85	206	215	1.0436893203883495
86	223	260	1.1659192825112108
87	235	257	1.0936170212765957
88	204	230	1.1274509803921569
89	214	243	1.1355140186915889
90	219	230	1.0502283105022832
91	185	183	0.9891891891891892
92	203	219	1.0788177339901477
93	213	222	1.0422535211267605
94	196	210	1.0714285714285714
95	219	254	1.1598173515981736
96	213	229	1.0751173708920188
97	200	201	1.005
98	177	201	1.1355932203389831
99	206	232	1.1262135922330097
