	Before	After	A/B
0	2013	2144	1.065076999503229
1	2011	2200	1.093983092988563
2	2000	2207	1.1035
3	2046	2143	1.0474095796676441
4	1971	2075	1.0527650938609843
5	2048	2182	1.0654296875
6	2045	2103	1.028361858190709
7	1987	2075	1.0442878711625567
8	1989	2078	1.044746103569633
9	1990	2097	1.0537688442211055
10	2023	2092	1.0341077607513594
11	2011	2113	1.0507210343112878
12	2021	2085	1.0316674913409203
13	1956	2059	1.0526584867075666
14	1995	2076	1.0406015037593985
15	1999	2102	1.0515257628814407
16	2017	2250	1.1155180961824491
17	1919	2062	1.0745179781136007
18	2021	2120	1.0489856506679862
19	2045	2205	1.078239608801956
20	1956	2037	1.0414110429447854
21	2027	2175	1.0730143068574247
22	2018	2102	1.041625371655104
23	2014	2111	1.048162859980139
24	1974	2092	1.0597771023302938
25	2018	2156	1.068384539147671
26	2002	2073	1.0354645354645355
27	2058	2188	1.063168124392614
28	2020	2145	1.061881188118812
29	1955	2085	1.0664961636828645
30	2032	2118	1.0423228346456692
31	2004	2096	1.0459081836327346
32	1973	2086	1.05727318803852
33	1952	2049	1.0496926229508197
34	2075	2176	1.0486746987951807
35	1928	2059	1.0679460580912863
36	2038	2186	1.0726202158979392
37	1991	2154	1.0818684078352587
38	1968	2144	1.089430894308943
39	1988	2178	1.095573440643863
40	1917	2058	1.0735524256651017
41	1997	2059	1.0310465698547822
42	2052	2126	1.0360623781676412
43	2014	2193	1.0888778550148956
44	2002	2104	1.050949050949051
45	2072	2138	1.031853281853282
46	1951	2056	1.053818554587391
47	2025	2125	1.0493827160493827
48	2052	2144	1.0448343079922027
49	2002	2121	1.0594405594405594
50	2003	2168	1.0823764353469796
51	2030	2170	1.0689655172413792
52	2015	2096	1.040198511166253
53	2034	2175	1.0693215339233038
54	2009	2140	1.0652065704330513
55	1953	2105	1.0778289810547874
56	1946	2063	1.0601233299075026
57	2090	2211	1.0578947368421052
58	2022	2130	1.053412462908012
59	2060	2168	1.0524271844660193
60	2021	2124	1.0509648688767936
61	1952	2090	1.0706967213114753
62	1922	2090	1.0874089490114465
63	2044	2145	1.049412915851272
64	1913	2107	1.101411395713539
65	2058	2134	1.0369290573372205
66	1997	2133	1.0681021532298447
67	1997	2115	1.0590886329494242
68	1943	2074	1.067421513124035
69	1997	2150	1.0766149223835753
70	2008	2082	1.0368525896414342
71	1946	2076	1.066803699897225
72	1952	2104	1.0778688524590163
73	2020	2160	1.0693069306930694
74	1969	2111	1.0721178263077704
75	1978	2148	1.0859453993933266
76	2057	2184	1.0617403986387943
77	1924	2033	1.0566528066528067
78	2025	2072	1.0232098765432098
79	1986	2054	1.0342396777442096
80	1983	2156	1.0872415532022188
81	2081	2184	1.0494954348870735
82	2061	2154	1.0451237263464337
83	1989	2110	1.060834590246355
84	1994	2037	1.0215646940822467
85	1981	2079	1.0494699646643109
86	1961	2089	1.0652728199898012
87	2014	2103	1.0441906653426019
88	2008	2076	1.0338645418326693
89	2034	2190	1.0766961651917404
90	1996	2054	1.029058116232465
91	1970	2065	1.0482233502538072
92	2046	2107	1.0298142717497556
93	2023	2241	1.1077607513593672
94	1952	2055	1.052766393442623
95	2057	2269	1.1030627126883812
96	2007	2150	1.0712506228201295
97	2045	2180	1.0660146699266504
98	2025	2102	1.0380246913580247
99	1985	2111	1.0634760705289672
