	Before	After	A/B
0	2019	9768	4.838038632986627
1	2035	9735	4.783783783783784
2	1991	9752	4.898041185334003
3	1961	9714	4.9535951045385005
4	1937	9718	5.017036654620547
5	2116	9758	4.611531190926276
6	2030	9741	4.798522167487684
7	1988	9744	4.901408450704225
8	1972	9723	4.93052738336714
9	1999	9752	4.878439219609805
10	2008	9762	4.861553784860558
11	2017	9713	4.815567674764502
12	2051	9739	4.748415407118479
13	1976	9752	4.935222672064778
14	1929	9742	5.050285121824779
15	2007	9705	4.835575485799701
16	2066	9749	4.718780251694095
17	1965	9722	4.9475826972010175
18	1953	9723	4.978494623655914
19	1988	9755	4.906941649899396
20	2041	9752	4.778049975502205
21	2009	9761	4.858636137381782
22	2016	9727	4.8249007936507935
23	1986	9743	4.905840886203424
24	2035	9731	4.781818181818182
25	1994	9728	4.87863590772317
26	2003	9742	4.863704443334997
27	1976	9735	4.926619433198381
28	2079	9746	4.6878306878306875
29	2019	9752	4.8301139177810795
30	1962	9714	4.951070336391437
31	1943	9743	5.014410705095214
32	2028	9731	4.798323471400394
33	2038	9721	4.769872423945044
34	2086	9753	4.675455417066155
35	1996	9727	4.873246492985972
36	2037	9748	4.78546882670594
37	1949	9719	4.986659825551565
38	2004	9744	4.862275449101796
39	2092	9723	4.647705544933078
40	1983	9727	4.9051941502773575
41	1956	9765	4.992331288343558
42	1975	9743	4.9331645569620255
43	2003	9725	4.855217174238642
44	1998	9759	4.884384384384385
45	2045	9750	4.767726161369193
46	1925	9747	5.063376623376623
47	1985	9752	4.9128463476070525
48	2027	9755	4.81253083374445
49	1953	9742	4.988223246287762
50	2026	9716	4.795656465942744
51	1976	9718	4.918016194331984
52	1973	9723	4.928028383172833
53	1917	9720	5.070422535211268
54	2038	9769	4.79342492639843
55	1988	9711	4.884808853118712
56	2008	9735	4.848107569721115
57	1973	9748	4.940699442473391
58	2000	9731	4.8655
59	2019	9725	4.816740960871718
60	2040	9766	4.787254901960784
61	1949	9733	4.993842996408414
62	2063	9722	4.71255453223461
63	2093	9740	4.6536072623029145
64	2002	9746	4.868131868131868
65	2001	9737	4.866066966516741
66	1912	9699	5.072698744769874
67	1993	9726	4.880080280983442
68	1951	9731	4.987698616094311
69	2021	9743	4.820880752102919
70	2008	9745	4.85308764940239
71	1981	9758	4.925795053003534
72	1970	9739	4.943654822335025
73	1980	9754	4.926262626262626
74	1979	9734	4.918645780697322
75	2020	9758	4.830693069306931
76	1931	9729	5.038322112894873
77	1951	9722	4.983085597129677
78	1977	9738	4.925644916540213
79	1948	9723	4.9912731006160165
80	1991	9740	4.8920140632847815
81	1958	9761	4.985188968335036
82	2040	9750	4.779411764705882
83	2050	9728	4.745365853658536
84	2079	9745	4.687349687349688
85	1951	9725	4.984623270117888
86	1998	9695	4.852352352352352
87	2035	9756	4.794103194103194
88	2001	9737	4.866066966516741
89	1991	9752	4.898041185334003
90	1979	9720	4.911571500757959
91	1952	9709	4.973872950819672
92	2038	9789	4.803238469087341
93	2062	9758	4.732298739088264
94	2006	9734	4.852442671984048
95	2031	9747	4.7991137370753325
96	1946	9741	5.005652620760534
97	2006	9791	4.880857427716849
98	1937	9733	5.024780588538978
99	2043	9742	4.768477728830152
