	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Precision	1.0	1.0	0.9999999558318974	1.0	1.0	1.0	0.999999940667269	0.999999956368246	1.0	0.9999999363074179	1.0	0.9999999394641754	1.0	0.9999999853484967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999994049838491	1.0	0.9999999854015562	0.9999999999999999	1.0	1.0	1.0	1.0	0.9999999855867427	0.999999985464848	0.999999829729243	0.9999999849208174	0.9999999237073562	1.0	1.0	1.0	0.9999999561781987	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999852522579	1.0	1.0	0.9999999444538503	1.0	0.9999999122096724	1.0	0.9999999999999999	1.0	0.9999999851550678	1.0	1.0	1.0	0.9999999558533265	1.0	0.9999999852880121	1.0	0.9999997824712226	0.9999999712115162	0.9999999840194349	1.0	0.9999999852415062	1.0	1.0	1.0	1.0	0.9999997343648915	0.9999998592635053	1.0	1.0	0.9999999719499556	0.9999999568552421	1.0	0.9999999560791659	1.0	0.999999972136705	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999434067024	0.9999999707005397	1.0	0.9999999852772996	1.0	1.0	1.0
Dropout	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
