	Before	After	A/B
0	1009	9419	9.334985133795838
1	963	9390	9.750778816199377
2	993	9421	9.487411883182276
3	966	9408	9.73913043478261
4	991	9399	9.48435923309788
5	934	9412	10.077087794432549
6	1036	9435	9.107142857142858
7	1019	9460	9.28361138370952
8	981	9466	9.6493374108053
9	981	9453	9.636085626911315
10	1064	9457	8.888157894736842
11	1015	9396	9.257142857142858
12	1013	9428	9.307008884501482
13	970	9393	9.683505154639175
14	998	9437	9.455911823647295
15	958	9397	9.808977035490605
16	1003	9447	9.418743768693918
17	1013	9463	9.341559723593287
18	989	9402	9.506572295247725
19	1002	9405	9.386227544910179
20	1019	9435	9.259077526987243
21	1038	9444	9.098265895953757
22	1007	9416	9.350546176762661
23	1032	9469	9.175387596899224
24	1025	9454	9.22341463414634
25	992	9441	9.517137096774194
26	925	9389	10.150270270270271
27	992	9450	9.526209677419354
28	1019	9473	9.296368989205103
29	947	9385	9.910242872228089
30	1011	9429	9.326409495548962
31	983	9361	9.522889114954221
32	981	9407	9.589194699286443
33	1005	9462	9.414925373134329
34	992	9381	9.456653225806452
35	1028	9418	9.16147859922179
36	1020	9416	9.231372549019607
37	1004	9409	9.371513944223107
38	958	9398	9.810020876826723
39	1026	9429	9.190058479532164
40	999	9480	9.48948948948949
41	1005	9451	9.403980099502487
42	967	9380	9.70010341261634
43	993	9456	9.522658610271904
44	983	9396	9.558494404883012
45	1051	9445	8.986679352997145
46	981	9407	9.589194699286443
47	1003	9404	9.375872382851446
48	959	9397	9.798748696558915
49	967	9463	9.785935884177869
50	1015	9486	9.345812807881773
51	1006	9457	9.400596421471173
52	999	9446	9.455455455455455
53	1006	9436	9.37972166998012
54	1031	9427	9.143549951503395
55	1034	9444	9.133462282398453
56	1032	9447	9.154069767441861
57	1004	9446	9.408366533864541
58	989	9426	9.530839231547017
59	1005	9430	9.383084577114428
60	1038	9466	9.119460500963392
61	946	9392	9.928118393234673
62	1030	9453	9.177669902912621
63	954	9388	9.840670859538784
64	1054	9472	8.986717267552182
65	1050	9448	8.998095238095239
66	1048	9435	9.002862595419847
67	1009	9418	9.333994053518335
68	976	9438	9.670081967213115
69	972	9464	9.736625514403292
70	1017	9413	9.255653883972467
71	1030	9442	9.166990291262136
72	987	9414	9.537993920972644
73	964	9436	9.78838174273859
74	935	9369	10.020320855614973
75	1037	9413	9.077145612343298
76	975	9409	9.65025641025641
77	981	9414	9.596330275229358
78	1013	9434	9.312931885488647
79	957	9393	9.815047021943574
80	1011	9424	9.321463897131553
81	1003	9393	9.364905284147557
82	1043	9400	9.012464046021092
83	999	9421	9.43043043043043
84	1002	9435	9.416167664670658
85	986	9432	9.565922920892495
86	1008	9417	9.342261904761905
87	1017	9443	9.285152409046214
88	988	9402	9.516194331983806
89	955	9395	9.837696335078535
90	972	9395	9.665637860082304
91	996	9502	9.540160642570282
92	1051	9402	8.945765937202664
93	936	9382	10.023504273504274
94	999	9389	9.398398398398399
95	1021	9446	9.251714005876591
96	1026	9493	9.25243664717349
97	972	9429	9.700617283950617
98	975	9437	9.67897435897436
99	979	9484	9.687436159346271
