	Before	After	A/B
0	994	1040	1.0462776659959758
1	992	1062	1.0705645161290323
2	1011	1079	1.0672601384767557
3	1001	1016	1.014985014985015
4	991	1038	1.0474268415741674
5	946	982	1.0380549682875264
6	1008	1141	1.1319444444444444
7	988	1119	1.1325910931174088
8	972	1027	1.0565843621399178
9	1015	1066	1.0502463054187192
10	1021	1104	1.0812928501469148
11	1011	1054	1.0425321463897133
12	1009	1145	1.134786917740337
13	1014	1079	1.064102564102564
14	1041	1146	1.100864553314121
15	987	1033	1.0466058763931105
16	977	1072	1.097236438075742
17	1001	1082	1.080919080919081
18	983	1007	1.02441505595117
19	976	1100	1.1270491803278688
20	969	1021	1.0536635706914346
21	1064	1112	1.0451127819548873
22	1019	1059	1.0392541707556429
23	987	1037	1.050658561296859
24	1004	1106	1.1015936254980079
25	999	992	0.992992992992993
26	953	1006	1.055613850996852
27	955	1029	1.0774869109947645
28	1084	1118	1.0313653136531364
29	998	1137	1.1392785571142285
30	1027	1072	1.0438169425511197
31	1046	1157	1.1061185468451242
32	967	1075	1.1116856256463288
33	965	988	1.0238341968911917
34	944	941	0.996822033898305
35	990	1025	1.0353535353535352
36	1061	1097	1.0339302544769087
37	1011	1120	1.1078140454995054
38	996	1059	1.0632530120481927
39	977	993	1.0163766632548619
40	1021	1114	1.091087169441724
41	1013	1080	1.0661401776900297
42	1018	1035	1.0166994106090372
43	1047	1104	1.0544412607449856
44	967	1003	1.0372285418821097
45	1013	1078	1.0641658440276407
46	1023	1035	1.0117302052785924
47	946	1021	1.0792811839323466
48	1093	1144	1.0466605672461116
49	1065	1187	1.1145539906103286
50	976	1032	1.0573770491803278
51	1003	1033	1.0299102691924227
52	1053	1116	1.0598290598290598
53	1033	1034	1.0009680542110357
54	1028	1106	1.075875486381323
55	994	1010	1.0160965794768613
56	1028	1073	1.043774319066148
57	1009	1103	1.0931615460852329
58	1037	1081	1.0424300867888139
59	999	1065	1.0660660660660661
60	974	1054	1.0821355236139631
61	995	1054	1.0592964824120603
62	1010	1081	1.0702970297029704
63	1000	1098	1.098
64	989	997	1.0080889787664307
65	998	1102	1.1042084168336674
66	965	965	1.0
67	1061	1107	1.0433553251649388
68	970	1078	1.111340206185567
69	979	1055	1.0776302349336058
70	986	1015	1.0294117647058822
71	1006	1008	1.0019880715705765
72	985	1024	1.0395939086294417
73	989	1045	1.056622851365015
74	966	957	0.9906832298136646
75	995	1023	1.028140703517588
76	964	1043	1.0819502074688796
77	968	957	0.9886363636363636
78	979	1082	1.1052093973442287
79	1015	1033	1.0177339901477833
80	987	1046	1.0597771023302938
81	1007	1020	1.012909632571996
82	999	1060	1.0610610610610611
83	1007	1088	1.0804369414101291
84	1023	1079	1.0547409579667644
85	991	1063	1.072653884964682
86	1014	1092	1.0769230769230769
87	989	1080	1.0920121334681496
88	1002	1022	1.0199600798403194
89	1039	1083	1.0423484119345525
90	978	1047	1.0705521472392638
91	976	1080	1.1065573770491803
92	1012	1023	1.0108695652173914
93	1010	1066	1.0554455445544555
94	927	960	1.035598705501618
95	1011	1107	1.0949554896142433
96	971	1015	1.0453141091658085
97	987	1019	1.03242147922999
98	1017	1059	1.0412979351032448
99	1007	1078	1.070506454816286
