	Before	After	A/B
0	198	3231	16.318181818181817
1	183	3057	16.704918032786885
2	210	3327	15.842857142857143
3	204	3262	15.990196078431373
4	196	3260	16.632653061224488
5	197	3316	16.83248730964467
6	193	3007	15.580310880829016
7	183	3097	16.92349726775956
8	209	3377	16.157894736842106
9	195	3238	16.605128205128207
10	185	3132	16.92972972972973
11	211	3535	16.753554502369667
12	171	2830	16.549707602339183
13	217	3408	15.705069124423963
14	197	3288	16.690355329949238
15	209	3149	15.066985645933014
16	180	3033	16.85
17	198	3282	16.575757575757574
18	201	3149	15.666666666666666
19	191	3265	17.094240837696336
20	196	3299	16.831632653061224
21	201	3050	15.17412935323383
22	186	2958	15.903225806451612
23	184	3201	17.39673913043478
24	191	3198	16.7434554973822
25	213	3267	15.338028169014084
26	220	3468	15.763636363636364
27	204	3254	15.950980392156863
28	216	3459	16.01388888888889
29	180	3140	17.444444444444443
30	234	3707	15.841880341880342
31	213	3510	16.47887323943662
32	209	3287	15.727272727272727
33	200	3234	16.17
34	195	3124	16.02051282051282
35	202	3415	16.905940594059405
36	199	3110	15.628140703517587
37	193	3207	16.616580310880828
38	193	3237	16.7720207253886
39	182	3085	16.95054945054945
40	176	2861	16.255681818181817
41	225	3406	15.137777777777778
42	209	3417	16.349282296650717
43	215	3327	15.474418604651163
44	206	3106	15.077669902912621
45	204	3341	16.377450980392158
46	197	3087	15.67005076142132
47	187	3262	17.44385026737968
48	206	3359	16.305825242718445
49	196	3154	16.091836734693878
50	198	3315	16.742424242424242
51	199	3335	16.758793969849247
52	198	3252	16.424242424242426
53	208	3498	16.817307692307693
54	211	3396	16.09478672985782
55	189	3276	17.333333333333332
56	189	3239	17.137566137566136
57	196	3252	16.591836734693878
58	191	3140	16.43979057591623
59	201	3227	16.054726368159205
60	176	3023	17.176136363636363
61	182	2998	16.47252747252747
62	195	3105	15.923076923076923
63	200	3373	16.865
64	201	3198	15.91044776119403
65	201	3232	16.079601990049753
66	190	3223	16.96315789473684
67	190	3066	16.13684210526316
68	204	2946	14.441176470588236
69	209	3194	15.282296650717702
70	198	3111	15.712121212121213
71	188	3159	16.8031914893617
72	196	3280	16.73469387755102
73	202	3276	16.217821782178216
74	196	3110	15.86734693877551
75	192	3072	16.0
76	197	3158	16.03045685279188
77	206	3335	16.189320388349515
78	205	3237	15.790243902439025
79	204	3209	15.730392156862745
80	206	3036	14.737864077669903
81	221	3547	16.04977375565611
82	212	3504	16.528301886792452
83	190	3231	17.00526315789474
84	221	3596	16.271493212669682
85	205	3265	15.926829268292684
86	216	3442	15.935185185185185
87	226	3556	15.734513274336283
88	169	3024	17.893491124260354
89	198	3124	15.777777777777779
90	215	3443	16.013953488372092
91	204	3406	16.69607843137255
92	192	3191	16.619791666666668
93	219	3548	16.200913242009133
94	212	3378	15.933962264150944
95	197	3269	16.593908629441625
96	194	3235	16.675257731958762
97	188	3082	16.393617021276597
98	214	3415	15.957943925233645
99	204	3189	15.632352941176471
