	Before	After	A/B
0	1957	2040	1.0424118548799182
1	1946	2033	1.0447070914696814
2	1999	2185	1.0930465232616309
3	2056	2115	1.0286964980544746
4	1982	2093	1.0560040363269425
5	1976	2070	1.0475708502024292
6	2060	2204	1.0699029126213593
7	1953	2076	1.0629800307219661
8	2034	2153	1.0585054080629301
9	1995	2166	1.0857142857142856
10	2027	2157	1.0641341884558462
11	1992	2086	1.0471887550200802
12	1986	2053	1.0337361530715006
13	2075	2276	1.096867469879518
14	2035	2100	1.031941031941032
15	2023	2225	1.0998517053880377
16	1916	2072	1.081419624217119
17	2105	2245	1.0665083135391924
18	1990	2084	1.0472361809045225
19	1992	2151	1.0798192771084338
20	2011	2041	1.0149179512680258
21	2019	2086	1.0331847449232294
22	2011	2194	1.0909995027349577
23	1982	2158	1.0887991927346115
24	2027	2153	1.062160828811051
25	2046	2159	1.055229716520039
26	2005	2153	1.0738154613466335
27	2057	2224	1.0811861934856588
28	2068	2187	1.0575435203094778
29	2017	2112	1.0470996529499257
30	1974	2074	1.050658561296859
31	1969	2101	1.0670391061452513
32	2021	2136	1.0569025235032163
33	1956	2096	1.0715746421267893
34	2005	2121	1.05785536159601
35	1965	2111	1.0743002544529263
36	2042	2195	1.074926542605289
37	2000	2191	1.0955
38	2022	2138	1.0573689416419387
39	2047	2190	1.0698583292623352
40	1962	2074	1.0570846075433231
41	2020	2130	1.0544554455445545
42	2024	2125	1.049901185770751
43	2029	2209	1.0887136520453424
44	1969	2133	1.0832910106653124
45	1996	2096	1.0501002004008015
46	1998	2165	1.0835835835835836
47	1977	2145	1.0849772382397571
48	2023	2179	1.0771131982204647
49	1998	2185	1.0935935935935936
50	2002	2247	1.1223776223776223
51	2048	2161	1.05517578125
52	2004	2075	1.0354291417165669
53	2005	2103	1.0488778054862844
54	1976	2085	1.055161943319838
55	1989	2057	1.0341880341880343
56	1951	2042	1.0466427473090723
57	1938	2003	1.0335397316821466
58	2001	2100	1.0494752623688155
59	1965	2078	1.0575063613231552
60	1971	2147	1.089294774226281
61	2014	2145	1.0650446871896724
62	1957	2079	1.062340316811446
63	1929	1955	1.013478486262312
64	1999	2172	1.0865432716358179
65	1981	2062	1.0408884401817264
66	1974	2068	1.0476190476190477
67	1960	2094	1.0683673469387756
68	2033	2098	1.0319724545007378
69	1985	2132	1.0740554156171285
70	2037	2133	1.0471281296023565
71	1987	2139	1.0764972320080524
72	2085	2265	1.0863309352517985
73	1979	2106	1.0641738251642243
74	1965	2135	1.0865139949109415
75	2035	2208	1.085012285012285
76	2031	2141	1.054160512063023
77	2042	2124	1.040156709108717
78	1977	2037	1.0303490136570561
79	1994	2165	1.0857572718154462
80	1979	2108	1.0651844365841334
81	2021	2156	1.0667986145472539
82	1960	2077	1.0596938775510205
83	2000	2049	1.0245
84	1992	2065	1.0366465863453815
85	1996	2137	1.0706412825651304
86	1998	2171	1.0865865865865867
87	1997	2082	1.042563845768653
88	1965	2144	1.0910941475826972
89	2037	2182	1.0711831124202258
90	1988	2178	1.095573440643863
91	1996	2132	1.0681362725450902
92	1971	2117	1.0740740740740742
93	1984	2157	1.0871975806451613
94	2031	2022	0.9955686853766618
95	2008	2231	1.1110557768924303
96	1927	2085	1.0819927348209653
97	2013	2067	1.0268256333830104
98	2057	2221	1.079727758872144
99	2052	2148	1.0467836257309941
