	Before	After	A/B
0	1968	8570	4.354674796747967
1	1946	8529	4.382836587872559
2	2030	8538	4.205911330049261
3	2024	8629	4.263339920948616
4	2064	8527	4.1312984496124034
5	1991	8476	4.25715720743345
6	1897	8459	4.459146020031629
7	2027	8562	4.223976319684263
8	2002	8564	4.277722277722278
9	2013	8629	4.286636860407352
10	2029	8553	4.215377033021193
11	1956	8509	4.350204498977505
12	1964	8603	4.380346232179226
13	1989	8544	4.295625942684766
14	1964	8594	4.375763747454175
15	1963	8562	4.361691288843606
16	2040	8623	4.226960784313725
17	2019	8581	4.250123823675087
18	2018	8584	4.253716551040634
19	2034	8583	4.21976401179941
20	1956	8521	4.356339468302658
21	2000	8559	4.2795
22	2038	8593	4.216388616290481
23	2003	8547	4.26709935097354
24	1973	8564	4.3405980739989865
25	2057	8644	4.20223626640739
26	1959	8561	4.3700867789688616
27	1965	8526	4.338931297709924
28	2035	8577	4.214742014742015
29	1979	8560	4.325416877210713
30	2035	8580	4.216216216216216
31	2012	8581	4.264910536779324
32	2091	8683	4.152558584409373
33	2044	8594	4.204500978473582
34	2025	8527	4.2108641975308645
35	2043	8625	4.221732745961821
36	2051	8509	4.14870794734276
37	2026	8562	4.226061204343534
38	2041	8581	4.204311611954924
39	2021	8501	4.206333498268184
40	1935	8539	4.412919896640827
41	2069	8618	4.165297245045916
42	1997	8570	4.2914371557336
43	2010	8590	4.27363184079602
44	2018	8580	4.2517343904856295
45	1994	8515	4.270310932798395
46	1939	8498	4.382671480144404
47	1955	8530	4.3631713554987215
48	1935	8535	4.410852713178294
49	1947	8531	4.381612737544941
50	1895	8412	4.4390501319261215
51	1964	8618	4.387983706720978
52	1997	8576	4.294441662493741
53	1962	8503	4.333843017329256
54	2026	8632	4.260612043435341
55	1953	8543	4.3742959549411164
56	2015	8551	4.243672456575682
57	1995	8590	4.305764411027569
58	2006	8561	4.267696909272184
59	2030	8536	4.2049261083743845
60	2039	8653	4.243746934771947
61	1910	8479	4.439267015706807
62	2032	8644	4.253937007874016
63	1954	8490	4.344933469805527
64	2023	8659	4.280276816608996
65	1987	8639	4.3477604428787116
66	2001	8590	4.292853573213393
67	2013	8585	4.264778936910084
68	1916	8474	4.422755741127348
69	1947	8504	4.367745249101182
70	1982	8613	4.34561049445005
71	2036	8559	4.203831041257367
72	1982	8596	4.337033299697276
73	2039	8650	4.242275625306523
74	1957	8628	4.408788962698007
75	2027	8564	4.22496299950666
76	2060	8650	4.199029126213592
77	2009	8512	4.2369337979094075
78	1999	8538	4.271135567783892
79	2066	8642	4.182962245885769
80	2093	8598	4.107978977544195
81	1972	8518	4.31947261663286
82	1999	8503	4.2536268134067035
83	1944	8612	4.4300411522633745
84	1995	8576	4.29874686716792
85	2010	8587	4.272139303482587
86	2014	8595	4.2676266137040715
87	2001	8593	4.294352823588206
88	2030	8665	4.268472906403941
89	2012	8604	4.276341948310139
90	2011	8537	4.245151665837891
91	1977	8610	4.355083459787557
92	1956	8533	4.362474437627812
93	2003	8582	4.284573140289566
94	2028	8563	4.2223865877712035
95	2012	8587	4.2678926441351885
96	2095	8576	4.093556085918855
97	1980	8563	4.324747474747475
98	1911	8374	4.381998953427525
99	2013	8579	4.261798310978639
