,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,19,0.255097346893105,116,0_19,0.127548673446552,116,1
2,0,17,0.217551035631698,73,0_17,0.236324191262401,189,2
3,0,16,0.213672078971579,95,0_16,0.343160230748191,284,3
4,0,13,0.18593505234105,84,0_13,0.436127756918716,368,4
5,1,10,0.280754171994144,111,1_10,0.140377085997072,111,1
6,1,3,0.206946809144932,72,1_3,0.243850490569538,183,2
7,1,17,0.151298137756961,60,1_17,0.319499559448018,243,3
8,1,16,0.147210610346678,63,1_16,0.393104864621357,306,4
9,1,6,0.134345167509126,59,1_6,0.46027744837592,365,5
10,2,2,0.448549623009475,146,2_2,0.224274811504737,146,1
11,2,19,0.203620951766711,75,2_19,0.326085287388093,221,2
12,2,10,0.179995700311727,62,2_10,0.416083137543957,283,3
13,2,5,0.122141859000937,46,2_5,0.477154067044425,329,4
14,3,7,0.186274009858916,111,3_7,0.0931370049294578,111,1
15,3,3,0.183724290328064,82,3_3,0.18499915009349,193,2
16,3,15,0.159357470678225,66,3_15,0.264677885432602,259,3
17,3,9,0.137757096719361,64,3_9,0.333556433792283,323,4
18,3,10,0.136354750977392,73,3_10,0.401733809280979,396,5
19,3,14,0.1303884072752,75,3_14,0.466928012918579,471,6
